N	2gram	Losev_Dial_1	FransuaR
1	и в	18	41
2	в нем	16	16
3	и с	5	16
4	но и	7	13
5	как мы	4	12
6	в этом	12	12
7	все это	11	11
8	все эти	2	11
9	прежде всего	10	10
10	в самом	3	10
11	не только	13	10
12	так как	11	10
13	то что	13	10
14	здесь в	2	9
15	и все	3	9
16	о том	4	9
17	никогда не	9	8
18	но в	6	8
19	в них	3	7
20	вовсе не	7	7
21	том что	9	7
22	как бы	11	7
23	в особенности	5	7
24	как и	2	7
25	что в	13	7
26	в его	3	7
27	что он	11	6
28	мы видим	4	6
29	один из	3	6
30	в эпоху	2	6
31	также и	7	6
32	сказать что	10	6
33	в то	6	6
34	то же	10	5
35	так же	4	5
36	же время	4	5
37	и он	5	5
38	между собою	2	5
39	из них	2	5
40	так и	9	5
41	в своем	5	5
42	и что	12	5
43	в себе	11	5
44	во всем	2	5
45	что это	11	5
46	с другой	6	4
47	та же	3	4
48	но они	2	4
49	и от	2	4
50	и образ	6	4
51	именно в	2	4
52	и как	7	4
53	не в	6	4
54	и вообще	4	4
55	одной стороны	2	4
56	в ней	3	4
57	в котором	4	4
58	даже в	3	4
59	все же	5	4
60	не может	12	4
61	с одной	2	4
62	как в	2	4
63	самом деле	3	4
64	и даже	13	4
65	а в	5	4
66	в основе	3	4
67	в другом	2	4
68	с ним	6	4
69	мы увидим	2	3
70	поэтому и	2	3
71	он сам	5	3
72	с этой	2	3
73	с этим	2	3
74	нас не	2	3
75	но это	8	3
76	как у	2	3
77	до сих	2	3
78	они были	2	3
79	было бы	12	3
80	конечно не	3	3
81	и их	2	3
82	никак не	6	3
83	в него	2	3
84	жизни и	3	3
85	сих пор	2	3
86	и для	2	3
87	этом отношении	2	3
88	как один	2	3
89	и не	30	3
90	того что	2	3
91	что не	7	3
92	к нему	8	3
93	есть только	5	3
94	с другими	2	3
95	в данном	3	3
96	только в	3	3
97	только с	3	3
98	в чем	6	3
99	потому что	14	3
100	что их	2	2
101	не был	2	2
102	всех этих	3	2
103	что если	2	2
104	но уже	2	2
105	в частности	2	2
106	в этих	5	2
107	для этого	2	2
108	в конце	4	2
109	себе самом	2	2
110	стороны и	3	2
111	что именно	2	2
112	если мы	2	2
113	что человек	2	2
114	в корне	2	2
115	в том	9	2
116	это и	4	2
117	так что	15	2
118	в дальнейшем	5	2
119	тем более	2	2
120	что они	3	2
121	от него	4	2
122	на этом	2	2
123	но не	4	2
124	есть и	5	2
125	должна быть	3	2
126	никто не	2	2
127	может быть	17	2
128	в своей	2	2
129	хотя и	4	2
130	он не	3	2
131	но если	5	2
132	и потому	3	2
133	есть нечто	10	2
134	другой стороны	4	2
135	как раз	4	2
136	что даже	2	2
137	еще более	3	2
138	как это	4	2
139	но с	3	2
140	мы находим	7	2
141	из того	2	2
142	и сейчас	2	2
143	но эта	3	2
144	а не	14	2
145	и у	2	2
146	с точки	12	2
147	и то	9	2
148	то он	2	2
149	точки зрения	17	2
150	из этих	2	2
151	говорить о	5	2
152	состоит из	3	2
153	как он	4	2
154	бы в	3	2
155	но конечно	2	2
156	как она	7	2
157	это было	2	2
158	как о	2	2
