N	2gram	Nazirov_Vr_1	slovoVRo
1	и в	8	41
2	в нем	6	30
3	в романе	6	21
4	в роман	2	19
5	но и	7	16
6	и не	5	16
7	точки зрения	2	16
8	не только	9	16
9	то же	5	14
10	может быть	4	14
11	не может	2	14
12	и его	3	14
13	в то	5	14
14	в его	3	13
15	же время	5	12
16	как бы	4	12
17	в этом	8	12
18	в той	2	10
19	таким образом	2	9
20	но в	6	8
21	с точки	2	8
22	у тургенева	11	7
23	отношение к	2	7
24	с ним	4	7
25	в своей	2	7
26	все же	6	7
27	это не	4	6
28	при этом	4	6
29	и даже	6	6
30	а в	2	6
31	в них	2	6
32	все это	4	5
33	далеко не	3	5
34	одним из	3	4
35	в ней	4	4
36	рядом с	2	4
37	и с	6	4
38	и все	7	4
39	с его	3	4
40	как и	6	4
41	еще не	2	4
42	том же	2	4
43	о нем	6	4
44	никогда не	2	3
45	в том	3	3
46	в свою	2	3
47	для него	2	3
48	в него	2	3
49	из них	2	3
50	его и	2	3
51	в своем	3	3
52	не было	5	3
53	в истории	4	3
54	о том	4	3
55	его в	3	3
56	у него	5	3
57	и во	3	3
58	в себе	2	3
59	он не	3	3
60	и ее	2	3
61	же как	2	2
62	время и	2	2
63	столь же	2	2
64	к автору	2	2
65	для нас	4	2
66	уже не	2	2
67	так же	4	2
68	но он	3	2
69	между тем	5	2
70	в известном	2	2
71	в котором	6	2
72	к этому	3	2
73	том что	3	2
74	одна из	2	2
75	с которым	2	2
76	и о	3	2
77	а также	2	2
78	как раз	2	2
79	так в	2	2
80	а с	2	2
81	и у	3	2
82	и то	2	2
83	эти слова	3	2
84	связи с	3	2
85	в эту	2	2
