N	2gram	Vinokur_St_1	Myslijsy
1	потому что	6	49
2	для нас	7	31
3	то есть	2	30
4	и в	44	24
5	может быть	15	23
6	в сознании	2	23
7	то что	18	20
8	и не	16	19
9	а не	16	18
10	в том	36	18
11	что в	30	16
12	не только	18	15
13	того же	3	14
14	при этом	2	13
15	было бы	17	13
16	не в	12	13
17	в слове	5	13
18	но не	3	12
19	не может	8	12
20	то же	5	12
21	если бы	9	11
22	что мы	5	11
23	что и	6	11
24	мы не	2	11
25	только в	10	11
26	таким образом	7	11
27	для него	6	10
28	в себе	2	10
29	так что	6	10
30	как в	13	10
31	так как	5	10
32	вовсе не	19	9
33	в нем	5	9
34	как бы	4	9
35	но и	10	9
36	а в	17	8
37	том что	29	8
38	в этом	21	8
39	могут быть	5	8
40	прежде всего	7	7
41	во всяком	6	7
42	всяком случае	6	7
43	во всех	8	7
44	или же	2	7
45	как и	9	7
46	того что	9	7
47	тем что	5	7
48	с этим	3	7
49	в чем	3	7
50	с другой	9	6
51	по поводу	7	6
52	тем не	2	6
53	и т	30	6
54	не было	4	6
55	не имеет	4	6
56	есть только	2	6
57	между тем	3	6
58	в то	9	6
59	этого слова	2	6
60	и только	3	6
61	уже в	2	5
62	и уже	2	5
63	не менее	5	5
64	столь же	4	5
65	по крайней	2	5
66	крайней мере	2	5
67	что они	7	5
68	что не	3	5
69	на то	4	5
70	о том	17	5
71	и их	2	5
72	судя по	2	5
73	так и	9	5
74	бы не	2	5
75	а потому	2	5
76	для того	10	5
77	из них	8	5
78	все же	8	5
79	в которой	4	5
80	во время	3	4
81	никогда не	5	4
82	из этих	6	4
83	что он	10	4
84	такой же	5	4
85	до сих	7	4
86	еще не	3	4
87	должны быть	3	4
88	в самом	7	4
89	между прочим	2	4
90	время как	2	4
91	в котором	5	4
92	сих пор	7	4
93	с одной	3	4
94	что оно	3	4
95	если не	2	4
96	и что	4	4
97	тем самым	2	4
98	в таком	3	4
99	там где	5	4
100	том смысле	2	4
101	то время	2	4
102	в других	2	4
103	но в	10	4
104	на вопрос	4	3
105	что это	4	3
106	смысле этого	2	3
107	так например	7	3
108	это не	8	3
109	и все	2	3
110	думать что	2	3
111	то это	3	3
112	что на	2	3
113	о которой	3	3
114	одной стороны	2	3
115	кажется что	3	3
116	но это	6	3
117	например в	8	3
118	в ней	3	3
119	и во	2	3
120	если в	2	3
121	его в	2	3
122	и тем	3	3
123	в целом	5	3
124	на него	2	3
125	со стороны	6	3
126	что она	4	3
127	и тогда	2	3
128	языка и	4	3
129	т п	9	3
130	т д	21	3
131	и у	2	3
132	тем же	3	3
133	и для	3	3
134	той же	5	3
135	что для	3	3
136	во многих	3	3
137	вряд ли	5	3
138	и то	5	3
139	одно из	2	3
140	в каком	3	3
141	и вообще	3	3
142	в этих	2	3
143	то не	2	3
144	том как	4	3
145	в каждом	3	2
146	всех этих	2	2
147	но на	2	2
148	а то	2	2
149	связанные с	3	2
150	и его	8	2
151	что во	2	2
152	что у	4	2
153	в какой	3	2
154	превращается в	2	2
155	но он	2	2
156	хотя бы	6	2
157	что ни	2	2
158	и это	2	2
159	стремление к	3	2
160	что все	2	2
161	вопрос о	4	2
162	бы что	2	2
163	у нас	11	2
164	за пределы	2	2
165	но все	4	2
166	все эти	5	2
167	есть в	2	2
168	совсем не	2	2
169	так же	5	2
170	у него	2	2
171	же время	4	2
172	что с	2	2
173	общего с	3	2
174	оба эти	2	2
175	но если	4	2
176	в его	9	2
177	и потому	2	2
178	если это	3	2
179	не все	3	2
180	ни с	3	2
181	можно назвать	2	2
182	разница между	2	2
183	все это	5	2
184	допустим что	2	2
185	другой стороны	7	2
186	внимание на	3	2
187	вытекает из	2	2
188	а с	3	2
189	на самом	6	2
190	мы находим	4	2
191	самом деле	11	2
192	того чтобы	11	2
193	и по	5	2
194	отношения к	2	2
195	как это	4	2
196	по отношению	3	2
197	их в	2	2
198	сказать что	7	2
199	тому что	3	2
200	даже и	2	2
201	в другом	3	2
202	о котором	2	2
203	с которыми	2	2
204	к которому	4	2
205	что нет	2	2
