N	2gram	Tiupa_Anal_3	Myshleni
1	в том	9	33
2	том что	12	27
3	точки зрения	3	26
4	то что	2	20
5	в этом	14	19
6	с точки	2	18
7	и в	18	15
8	не только	22	15
9	что в	9	14
10	таким образом	4	14
11	что он	4	12
12	и т.д	2	12
13	в самом	5	11
14	в целом	3	10
15	но и	13	10
16	было бы	3	10
17	мы не	3	10
18	мы можем	2	10
19	в своем	4	9
20	может быть	9	9
21	не является	5	9
22	не может	2	9
23	что мы	2	9
24	о том	6	9
25	в сущности	5	9
26	так и	14	8
27	никогда не	5	8
28	не в	6	8
29	к тому	6	7
30	одной стороны	2	7
31	с одной	2	7
32	и не	12	7
33	как бы	10	7
34	по себе	4	7
35	он не	6	7
36	и т.п	5	7
37	во всяком	2	7
38	едва ли	3	7
39	в частности	12	6
40	в этой	6	6
41	по отношению	7	6
42	с другой	7	6
43	сказать что	2	6
44	как это	3	6
45	но в	2	6
46	и к	4	6
47	как и	14	6
48	по своей	2	6
49	вместе с	2	6
50	самом деле	2	6
51	всяком случае	2	6
52	там где	2	6
53	это не	2	5
54	уже в	3	5
55	и даже	8	5
56	отношению к	7	5
57	приводит к	4	5
58	то же	3	5
59	прежде всего	5	4
60	из этих	3	4
61	по поводу	3	4
62	несмотря на	2	4
63	от его	2	4
64	все это	3	4
65	который в	3	4
66	в них	2	4
67	а в	10	4
68	в конечном	2	4
69	в начале	6	4
70	могли бы	2	4
71	с его	8	4
72	для всех	2	4
73	конечном счете	2	4
74	к этому	3	4
75	все же	4	4
76	в качестве	12	4
77	даже в	2	4
78	как в	3	4
79	как раз	7	4
80	и его	13	4
81	только в	2	4
82	указание на	2	4
83	об этом	2	3
84	что они	3	3
85	очевидно что	2	3
86	и сам	4	3
87	для него	6	3
88	при этом	11	3
89	в общем	2	3
90	данном случае	3	3
91	со стороны	9	3
92	этом отношении	3	3
93	все эти	2	3
94	те же	2	3
95	лишь в	5	3
96	и по	2	3
97	в результате	5	3
98	мы имеем	5	3
99	и все	2	3
100	здесь и	3	3
101	с этим	3	3
102	состоит в	4	3
103	о которых	2	3
104	но не	7	3
105	того же	5	3
106	когда он	2	3
107	бы и	2	3
108	что она	2	3
109	тем самым	4	3
110	а не	9	3
111	в данном	4	3
112	в отличие	2	3
113	и ее	2	3
114	этого слова	2	3
115	отличие от	2	3
116	ничего не	3	3
117	в противоположность	2	2
118	сама по	2	2
119	говоря словами	2	2
120	перед нами	4	2
121	столь же	4	2
122	как уже	2	2
123	или иной	5	2
124	можно сказать	4	2
125	возникает в	2	2
126	и как	4	2
127	и той	2	2
128	той или	3	2
129	и самого	6	2
130	с ее	3	2
131	в первой	8	2
132	могут быть	2	2
133	в их	6	2
134	говорить о	3	2
135	роли в	3	2
136	однако и	3	2
137	во всем	3	2
138	мира и	2	2
139	а также	2	2
140	в одном	4	2
141	отнюдь не	4	2
142	были бы	3	2
143	связь с	2	2
144	именно в	3	2
145	представляет собой	5	2
146	подход к	2	2
147	указывает на	3	2
148	с их	3	2
149	иначе говоря	2	2
150	в его	7	2
151	о своих	2	2
152	что и	5	2
153	как говорит	3	2
154	принадлежит к	4	2
155	во всех	2	2
156	и для	2	2
157	но с	2	2
158	в себя	2	2
159	по пути	4	2
160	той же	5	2
161	тому как	2	2
162	тем что	2	2
163	подобно тому	3	2
164	в себе	2	2
165	на эту	2	2
