N	2gram	Vinokur_St_2	FransuaR
1	и в	29	56
2	в романе	4	21
3	в его	13	18
4	таким образом	10	17
5	все эти	2	15
6	в этом	21	14
7	в том	27	13
8	так и	9	13
9	и его	6	12
10	он был	2	12
11	в то	2	12
12	в этих	3	11
13	до конца	3	11
14	как бы	5	11
15	в них	2	11
16	то же	2	11
17	только в	2	9
18	в самом	7	9
19	но и	19	9
20	и не	9	9
21	том что	27	8
22	по своему	2	8
23	не только	19	8
24	и др	2	8
25	в нем	4	8
26	сих пор	5	8
27	все это	11	8
28	и даже	3	8
29	до сих	6	8
30	и с	4	8
31	в частности	4	7
32	и на	6	7
33	прежде всего	5	6
34	вовсе не	6	6
35	в ее	2	6
36	в этой	2	6
37	своего времени	4	6
38	в той	5	6
39	потому что	9	6
40	на его	2	6
41	точки зрения	5	6
42	связи с	4	6
43	но в	8	6
44	но не	3	5
45	с его	2	5
46	никогда не	3	5
47	в отношении	2	5
48	ни с	2	5
49	как и	2	5
50	и другие	2	5
51	одним из	6	5
52	он не	9	5
53	это были	2	5
54	своего рода	5	5
55	в процессе	2	5
56	что в	19	5
57	не было	3	5
58	в результате	2	5
59	во время	2	5
60	они не	2	5
61	в области	2	5
62	времени и	4	4
63	не был	3	4
64	и более	2	4
65	что это	3	4
66	в духе	2	4
67	того времени	4	4
68	в себе	2	4
69	в качестве	5	4
70	например в	3	4
71	и к	4	4
72	наконец в	3	4
73	в ней	7	4
74	и потому	2	4
75	даже в	2	4
76	литературного языка	2	4
77	при этом	2	4
78	того чтобы	6	4
79	о том	17	4
80	в особенности	2	4
81	так как	2	4
82	в которой	11	4
83	на рубеже	3	3
84	в своем	9	3
85	в образе	3	3
86	как например	2	3
87	в свет	5	3
88	и здесь	3	3
89	так что	3	3
90	кроме того	4	3
91	может быть	2	3
92	первой части	2	3
93	не мог	3	3
94	в некоторых	2	3
95	и о	4	3
96	одной из	3	3
97	а также	2	3
98	что и	2	3
99	то что	11	3
100	связь с	2	3
101	в их	3	3
102	не на	2	3
103	еще и	3	3
104	там где	2	3
105	в году	3	3
106	не в	4	3
107	другом месте	2	3
108	конечно и	2	3
109	сказать что	2	3
110	между тем	5	3
111	и самый	2	3
112	но он	3	3
113	в другом	4	3
114	в известном	3	2
115	только не	2	2
116	если бы	2	2
117	из нее	3	2
118	в речи	4	2
119	с другой	4	2
120	в одном	6	2
121	на самом	3	2
122	к этому	4	2
123	язык был	2	2
124	что он	13	2
125	конечно в	2	2
126	так например	7	2
127	ни было	2	2
128	ни в	3	2
129	говорит о	2	2
130	и как	2	2
131	но это	3	2
132	для него	4	2
133	было бы	5	2
134	и сам	2	2
135	из них	3	2
136	несмотря на	2	2
137	хотя и	4	2
138	что на	3	2
139	в котором	7	2
140	все же	6	2
141	действующих лиц	4	2
142	в своей	7	2
143	его как	2	2
144	вместе с	7	2
145	самом деле	3	2
146	дело не	2	2
147	ни одного	3	2
148	или менее	2	2
149	другой стороны	3	2
150	так же	3	2
151	как раз	8	2
152	и была	2	2
153	не может	2	2
154	в каком	2	2
155	того как	7	2
156	то ни	2	2
157	у всех	2	2
158	в значительной	2	2
159	а не	5	2
160	для того	7	2
161	с точки	2	2
162	его в	2	2
163	бы то	2	2
164	и те	2	2
165	в данном	2	2
166	с этой	2	2
167	также и	2	2
168	связан с	3	2
169	но с	4	2
170	языка в	2	2
171	для своего	2	2
172	что они	2	2
173	дело в	4	2
174	почти все	2	2
175	с тем	7	2
176	отметить что	2	2
177	не потому	2	2
178	более или	2	2
179	это очень	2	2
180	не могли	2	2
181	в эту	3	2
182	во многом	2	2
