N	2gram	Tiupa_Hudo_2	Mirosoze
1	может быть	8	30
2	не только	11	29
3	и в	28	28
4	не может	4	28
5	но и	9	25
6	а не	14	25
7	он не	4	24
8	в этом	13	20
9	не было	6	18
10	у него	5	17
11	не в	13	16
12	потому что	2	16
13	в ней	3	15
14	в своей	6	15
15	никогда не	5	14
16	человека и	3	14
17	в нем	3	13
18	человека в	4	13
19	и он	3	12
20	и это	3	12
21	для него	5	11
22	в самом	5	11
23	и не	18	11
24	что в	5	10
25	в своем	5	10
26	в мире	7	10
27	прежде всего	3	10
28	и все	7	10
29	что он	8	10
30	было бы	3	10
31	человек в	3	9
32	в его	11	9
33	и его	5	9
34	но не	4	8
35	в человеке	3	8
36	в котором	6	8
37	но в	2	7
38	любви к	2	7
39	нет ничего	2	7
40	к нему	3	7
41	в себе	9	7
42	он сам	2	6
43	в том	15	6
44	в этой	5	6
45	все это	3	6
46	лишь в	2	6
47	и на	3	6
48	он уже	2	6
49	вместе с	2	6
50	о боге	2	6
51	только в	4	6
52	это не	6	5
53	как и	11	5
54	то что	6	5
55	в этих	3	4
56	отношение к	2	4
57	ни с	2	4
58	а в	6	4
59	в любви	2	4
60	точки зрения	2	4
61	в них	3	4
62	не как	2	4
63	один из	2	4
64	она не	5	4
65	к ней	2	4
66	что и	4	4
67	уже не	10	4
68	тем что	6	4
69	себя и	2	3
70	о себе	3	3
71	к тому	7	3
72	для нас	3	3
73	его в	2	3
74	и с	6	3
75	на этом	2	3
76	с его	5	3
77	одно из	5	3
78	в жизни	8	3
79	с собой	2	3
80	в ее	18	3
81	том что	19	3
82	есть и	3	3
83	ничего не	5	3
84	себя в	8	3
85	бы и	4	3
86	будто бы	3	3
87	хотя бы	2	3
88	все его	3	3
89	он знает	2	2
90	место в	2	2
91	прежде чем	2	2
92	и от	2	2
93	с самим	2	2
94	о чем	8	2
95	для того	4	2
96	жизни и	6	2
97	по отношению	7	2
98	у всех	3	2
99	который и	2	2
100	человеческой индивидуальности	4	2
101	сказать что	2	2
102	как бы	5	2
103	о том	12	2
104	как он	3	2
105	с ним	7	2
106	в основе	2	2
107	а как	2	2
108	если бы	6	2
109	мысли о	2	2
110	жизни в	7	2
111	личности в	3	2
112	отношению к	7	2
113	в то	6	2
114	все что	3	2
115	как будто	4	2
116	до сих	2	2
117	и к	2	2
118	о нем	2	2
119	сам не	2	2
120	все же	2	2
121	сих пор	2	2
122	который был	2	2
123	как в	5	2
124	и сама	4	2
125	мысли и	2	2
126	приводит к	2	2
127	человеческой жизни	6	2
128	она может	2	2
129	бы не	3	2
130	т е	2	2
131	чтобы не	3	2
132	того чтобы	4	2
133	и у	2	2
134	и для	2	2
135	с того	2	2
136	не все	3	2
