N	2gram	Savitsky_P_1	VeschiIm
1	т е	3	42
2	не может	4	33
3	не только	17	31
4	может быть	5	29
5	и не	12	28
6	и в	14	26
7	то что	4	24
8	и есть	2	23
9	и т	3	21
10	а не	2	20
11	в смысле	6	15
12	только в	7	14
13	того что	2	13
14	по себе	4	13
15	было бы	6	12
16	но и	6	12
17	есть не	2	12
18	то же	9	10
19	в ней	6	10
20	как бы	4	10
21	потому что	3	10
22	что мы	3	10
23	есть нечто	2	10
24	в том	9	9
25	и с	2	9
26	прежде всего	3	9
27	она есть	3	8
28	в себе	3	8
29	и это	2	8
30	говорить о	2	7
31	в то	7	7
32	том что	4	7
33	как раз	2	7
34	и пр	5	7
35	в этом	10	7
36	и как	3	6
37	что в	4	6
38	со стороны	2	6
39	должно быть	2	6
40	точки зрения	3	6
41	но в	9	6
42	не менее	2	5
43	в отношении	10	5
44	это не	3	5
45	не в	5	5
46	а в	4	5
47	с тем	3	5
48	если бы	4	5
49	отнюдь не	2	5
50	в ее	2	5
51	одна из	2	5
52	но не	3	5
53	в своем	4	4
54	с другой	5	4
55	же время	7	4
56	и мы	2	4
57	из них	2	4
58	с этим	2	4
59	во всех	2	4
60	и о	5	4
61	и потому	4	4
62	с точки	3	4
63	мы не	3	4
64	было в	2	3
65	в нем	3	3
66	все это	2	3
67	отношения к	2	3
68	в жизни	2	3
69	только это	2	3
70	в а	2	3
71	тот же	3	3
72	нужно было	2	3
73	между прочим	2	3
74	да и	2	3
75	хотя бы	8	3
76	тем более	2	3
77	в частности	2	2
78	может ли	2	2
79	переход от	2	2
80	и если	4	2
81	в сфере	2	2
82	и тем	2	2
83	и вот	2	2
84	заключается в	3	2
85	является в	2	2
86	бы ни	2	2
87	а я	5	2
88	в силу	2	2
89	в качестве	9	2
90	не нужно	2	2
91	наряду с	3	2
92	никак не	2	2
93	что из	2	2
94	но к	2	2
95	может и	2	2
96	еще более	2	2
97	в с	4	2
98	реальность и	2	2
99	для того	3	2
100	к чему	2	2
101	отношении к	5	2
