N	2gram	Vinokur_St_3	Vvedenie
1	и т	8	42
2	т д	2	36
3	т е	8	35
4	и в	25	32
5	в том	20	31
6	в этом	24	30
7	может быть	19	26
8	том что	15	26
9	не только	12	22
10	для того	2	21
11	таким образом	10	19
12	то что	12	16
13	потому что	5	15
14	так как	3	15
15	но также	2	14
16	не может	7	14
17	в самом	2	13
18	о том	8	13
19	со стороны	3	13
20	того что	5	12
21	в общем	4	12
22	в их	3	12
23	и не	10	12
24	как на	6	12
25	в его	12	12
26	только в	6	12
27	как мы	2	11
28	что такое	7	11
29	что в	19	10
30	но в	5	9
31	между тем	6	9
32	этом смысле	4	9
33	этого рода	3	9
34	то же	5	9
35	не менее	2	8
36	с другой	5	8
37	это не	7	8
38	тем не	2	8
39	не в	6	8
40	прежде всего	10	7
41	точки зрения	7	7
42	но не	2	7
43	было бы	7	7
44	все же	4	7
45	самом деле	2	7
46	из этих	6	6
47	до сих	2	6
48	же время	3	6
49	том чтобы	2	6
50	один из	2	6
51	но и	9	6
52	xviii в	3	6
53	все это	8	6
54	в то	7	6
55	с тем	4	6
56	вовсе не	2	6
57	как и	4	6
58	в качестве	4	6
59	работы над	2	6
60	сих пор	2	6
61	и его	3	6
62	тем что	19	6
63	и это	5	6
64	уже в	3	5
65	в какой	3	5
66	так что	11	5
67	как бы	6	5
68	и тем	4	5
69	в целом	4	5
70	а как	4	5
71	другой стороны	5	5
72	в которых	2	5
73	сказать что	4	5
74	по языку	2	5
75	в них	5	5
76	как например	8	5
77	об этом	5	5
78	в г	12	5
79	на почве	5	5
80	вместе с	2	5
81	т п	6	5
82	в течение	4	5
83	а не	5	5
84	что не	2	5
85	могут быть	2	5
86	на вопрос	3	4
87	независимо от	5	4
88	связана с	4	4
89	с этой	3	4
90	в каждом	4	4
91	времени и	2	4
92	как о	2	4
93	одной стороны	3	4
94	всяком случае	4	4
95	в котором	5	4
96	здесь нет	2	4
97	в особенности	4	4
98	этом отношении	4	4
99	с одной	2	4
100	не просто	2	4
101	и что	3	4
102	не имеет	2	4
103	а в	6	4
104	одно из	2	4
105	в чисто	2	4
106	мы имеем	5	4
107	должен был	2	4
108	нельзя не	3	4
109	по крайней	4	4
110	что он	19	4
111	еще не	2	4
112	крайней мере	4	4
113	в своей	4	4
114	только что	2	4
115	внимание на	2	4
116	как раз	3	4
117	в виде	3	4
118	уже не	3	4
119	и для	4	4
120	той же	2	4
121	во всяком	4	4
122	и ее	2	4
123	что это	16	3
124	в этих	11	3
125	в конце	6	3
126	раньше чем	3	3
127	а потому	2	3
128	можно сказать	4	3
129	к тому	2	3
130	но все	2	3
131	в этой	14	3
132	на этом	3	3
133	до конца	3	3
134	такого рода	5	3
135	в ней	4	3
136	в виду	2	3
137	к нему	4	3
138	отношение к	4	3
139	дело не	2	3
140	до нас	2	3
141	все эти	3	3
142	и других	2	3
143	этой области	2	3
144	заключается в	2	3
145	и на	6	3
146	в результате	2	3
147	говорить о	3	3
148	в начале	4	3
149	при помощи	2	3
150	на нее	2	3
151	тогда когда	2	3
152	если бы	4	3
153	не как	2	3
154	к этому	3	3
155	и к	4	3
156	связи с	3	3
157	в чем	4	3
158	так чтобы	2	3
159	одной из	2	3
160	в сущности	2	3
161	в прямом	2	3
162	отчет в	2	3
163	а также	4	3
164	гораздо более	2	3
165	должен быть	2	3
166	своего рода	3	3
167	в в	3	3
168	в центре	4	3
169	в каком	4	3
170	ответ на	5	3
171	в области	6	3
172	то она	2	2
173	все время	2	2
174	все более	2	2
175	никогда не	2	2
176	тому что	3	2
177	для этого	2	2
178	в отношении	2	2
179	это в	4	2
180	работа над	3	2
181	или иной	2	2
182	из его	7	2
183	это есть	4	2
184	но это	4	2
185	что если	2	2
186	несмотря на	3	2
187	в ряде	2	2
188	и др	4	2
189	от того	2	2
190	в форме	2	2
191	которые были	2	2
192	в связи	3	2
193	не было	4	2
194	этого термина	2	2
195	во втором	2	2
196	произведения и	2	2
197	не мог	2	2
198	не столько	2	2
199	и с	4	2
200	с этим	7	2
201	он и	2	2
202	и здесь	3	2
203	конце концов	3	2
204	в интересах	2	2
205	так и	5	2
206	к историческим	2	2
207	по этому	3	2
208	на котором	2	2
209	начале xix	3	2
210	состоит в	4	2
211	на тему	3	2
212	воззрением на	2	2
213	о которых	3	2
214	у нас	4	2
215	сказалось в	2	2
216	его к	2	2
217	тем более	3	2
218	должна была	4	2
219	того же	2	2
220	во всех	2	2
221	что мы	3	2
222	этого слова	2	2
223	и тогда	2	2
224	в языке	8	2
225	этому поводу	2	2
226	о которой	2	2
227	из которых	4	2
228	с точки	4	2
229	другое дело	3	2
230	мы не	2	2
231	в другом	3	2
232	на протяжении	4	2
233	одна из	2	2
234	в каждой	2	2
235	ничего не	4	2
