N	2gram	Tiupa_Narr_2	VeschiIm
1	не может	8	33
2	не только	26	31
3	может быть	10	29
4	и не	14	28
5	и в	13	26
6	то что	8	24
7	и т	2	21
8	а не	17	20
9	что я	3	16
10	что она	2	14
11	только в	11	14
12	и что	2	13
13	того что	6	13
14	что это	4	12
15	было бы	2	12
16	но и	15	12
17	сказать что	3	12
18	все же	6	12
19	в себя	4	12
20	таким образом	5	11
21	с нею	2	11
22	то же	4	10
23	уже не	4	10
24	в ней	2	10
25	как бы	6	10
26	потому что	2	10
27	в том	14	9
28	в самом	2	9
29	прежде всего	6	9
30	на то	2	8
31	но это	2	8
32	в себе	8	8
33	ничего не	6	8
34	со своим	2	7
35	говорить о	2	7
36	в то	5	7
37	том что	13	7
38	от всего	2	7
39	себя в	2	7
40	не будет	2	7
41	как раз	3	7
42	в этом	13	7
43	что они	3	6
44	что в	4	6
45	для него	4	6
46	жизни и	4	6
47	со стороны	6	6
48	в результате	2	6
49	точки зрения	5	6
50	но в	6	6
51	с ним	4	6
52	можно было	2	6
53	не менее	4	5
54	должна быть	2	5
55	это не	3	5
56	с этой	3	5
57	тем не	5	5
58	не в	8	5
59	еще не	2	5
60	а в	9	5
61	как к	3	5
62	если бы	4	5
63	отнюдь не	4	5
64	в свою	2	5
65	в ее	4	5
66	у нас	2	5
67	одна из	3	5
68	но не	3	5
69	для себя	3	5
70	и для	3	5
71	себя с	2	5
72	в чем	2	5
73	я не	5	4
74	в своем	6	4
75	с другой	5	4
76	же время	3	4
77	то и	3	4
78	и даже	3	4
79	о том	5	4
80	и более	2	4
81	и все	4	4
82	как и	4	4
83	однако не	2	4
84	оно не	2	4
85	что и	2	4
86	собственно говоря	2	4
87	с точки	2	4
88	мы не	2	4
89	в данном	10	4
90	никогда не	6	3
91	можно сказать	6	3
92	к тому	9	3
93	несмотря на	2	3
94	как о	2	3
95	и сам	3	3
96	в нем	5	3
97	о ней	3	3
98	к себе	7	3
99	мы имеем	3	3
100	к другому	2	3
101	в жизни	6	3
102	один из	3	3
103	что он	5	3
104	к ней	3	3
105	в своей	4	3
106	так и	9	3
107	да и	3	3
108	только на	2	3
109	а с	2	3
110	в той	5	3
111	самом деле	3	3
112	бы в	2	3
113	того чтобы	3	3
114	хотя бы	2	3
115	тому как	2	3
116	тем более	2	3
117	подобно тому	2	3
118	я в	5	3
119	в частности	11	2
120	тому что	3	2
121	но зато	2	2
122	когда же	2	2
123	у меня	2	2
124	и тем	5	2
125	и уже	4	2
126	я сам	2	2
127	данном случае	6	2
128	в слове	3	2
129	бы на	2	2
130	так же	2	2
131	в своих	2	2
132	как это	4	2
133	то есть	9	2
134	на него	5	2
135	о которой	3	2
136	о чем	2	2
137	а потом	2	2
138	жизни в	6	2
139	превращается в	2	2
140	в силу	4	2
141	в качестве	14	2
142	себе и	2	2
143	никак не	3	2
144	об этом	4	2
145	он не	5	2
146	и когда	3	2
147	только к	3	2
148	себя не	2	2
149	как в	5	2
150	тогда как	15	2
151	если не	2	2
152	и мира	4	2
153	своей собственной	2	2
154	и его	3	2
155	той же	2	2
156	или иначе	2	2
157	не случайно	2	2
158	не все	2	2
159	то чтобы	2	2
160	том как	2	2
