N	2gram	Losev_Vlad_1	Istorich
1	и в	31	24
2	что он	12	21
3	не только	24	21
4	и т	2	17
5	т д	2	16
6	может быть	6	14
7	не может	6	14
8	что в	14	13
9	как в	3	12
10	в этом	14	12
11	и здесь	3	12
12	но и	19	11
13	у него	15	10
14	том что	14	10
15	а в	9	10
16	и что	6	10
17	с другой	3	9
18	не в	5	9
19	все же	3	9
20	о том	11	9
21	потому что	11	9
22	еще не	2	8
23	что и	5	8
24	все это	5	8
25	другой стороны	3	8
26	то же	6	8
27	так как	8	8
28	один из	4	7
29	в том	11	7
30	то что	18	7
31	вместе с	3	7
32	к нему	4	7
33	таким образом	3	7
34	тем что	2	6
35	об этом	7	6
36	для нас	4	6
37	как и	4	6
38	но не	3	6
39	мы увидим	3	6
40	в нем	4	6
41	а именно	2	6
42	он не	10	6
43	и все	4	6
44	того что	2	6
45	во время	3	6
46	только в	9	6
47	как он	4	6
48	ответ на	2	6
49	не менее	2	5
50	в тех	2	5
51	отношение к	3	5
52	дело не	2	5
53	так и	6	5
54	что она	2	5
55	здесь мы	3	5
56	в чем	2	5
57	с ним	5	5
58	ничего не	3	5
59	видно что	5	5
60	но в	12	5
61	никогда не	9	4
62	что у	4	4
63	вовсе не	5	4
64	тем не	2	4
65	по существу	2	4
66	при этом	2	4
67	одной из	2	4
68	мы уже	7	4
69	со своим	5	4
70	с того	2	4
71	то и	2	4
72	если не	3	4
73	и не	17	4
74	точки зрения	2	4
75	мы должны	2	4
76	на первый	2	4
77	уже в	7	3
78	после смерти	4	3
79	в ответ	2	3
80	с его	11	3
81	не столько	2	3
82	в качестве	6	3
83	в них	2	3
84	на то	5	3
85	и стал	3	3
86	так что	10	3
87	в дальнейшем	8	3
88	что они	3	3
89	кроме того	7	3
90	кажется что	2	3
91	и если	5	3
92	между прочим	11	3
93	том чтобы	2	3
94	когда он	5	3
95	выше мы	2	3
96	по своим	3	3
97	как мы	9	3
98	и даже	15	3
99	и он	3	3
100	и по	8	3
101	с семьей	2	3
102	и его	7	3
103	но это	3	3
104	хотя и	4	3
105	знаем что	2	3
106	к себе	2	3
107	из этих	2	3
108	от него	2	3
109	что мы	2	3
110	которой он	5	3
111	в конце	9	3
112	по этому	2	2
113	для нее	2	2
114	того же	6	2
115	и так	3	2
116	и от	5	2
117	к этому	6	2
118	в то	8	2
119	мы знаем	2	2
120	ни в	2	2
121	что его	4	2
122	то время	2	2
123	так например	2	2
124	тот же	3	2
125	было бы	2	2
126	и тот	2	2
127	со своей	3	2
128	на его	3	2
129	в самом	2	2
130	он говорит	2	2
131	и о	2	2
132	ни с	4	2
133	к ней	4	2
134	в котором	6	2
135	тем более	2	2
136	и такие	2	2
137	на себя	3	2
138	и начал	2	2
139	был в	3	2
140	на ту	2	2
141	этом и	2	2
142	на него	3	2
143	со стороны	2	2
144	не по	2	2
145	здесь не	3	2
146	в связи	3	2
147	уже не	3	2
148	в особенности	4	2
149	там же	13	2
150	и у	4	2
151	что такое	2	2
152	на этот	6	2
153	по его	2	2
154	в которой	4	2
155	как это	7	2
156	он стал	2	2
157	что этот	3	2
158	связи со	2	2
159	сказать что	7	2
160	из них	2	2
161	он в	3	2
162	но он	5	2
163	известно что	2	2
164	и на	3	2
165	отца и	3	2
166	во всем	4	2
167	только на	3	2
168	его на	2	2
169	все эти	3	2
170	и это	2	2
171	конечно не	2	2
172	это конечно	3	2
173	е в	7	2
