N	2gram	Berdyaev_N_1	Morfolog
1	может быть	7	52
2	и пр	3	40
3	не может	16	17
4	могут быть	2	15
5	с этим	2	14
6	и в	16	13
7	в этом	7	13
8	прежде всего	4	9
9	так и	2	9
10	и не	11	9
11	а не	17	9
12	с другой	3	8
13	по существу	2	8
14	вопрос о	3	7
15	это не	4	6
16	в том	8	6
17	но не	2	6
18	а в	2	6
19	подобно тому	3	6
20	не менее	4	5
21	тому как	3	5
22	наряду с	3	5
23	во всех	3	5
24	то что	4	5
25	потому что	4	5
26	мы не	2	5
27	что в	9	4
28	ни одна	2	4
29	не только	5	4
30	как в	3	4
31	другой стороны	2	4
32	так же	2	4
33	как и	7	4
34	хотя и	2	4
35	связана с	2	3
36	том что	2	3
37	но это	6	3
38	того чтобы	2	3
39	он не	8	3
40	ни в	6	3
41	но и	3	3
42	и для	4	3
43	можно назвать	2	3
44	в то	2	3
45	но в	2	3
46	значит что	4	3
47	ни к	2	2
48	совсем не	12	2
49	с тем	3	2
50	хотя бы	2	2
51	и к	5	2
52	смысле слова	3	2
53	одной стороны	2	2
54	но для	2	2
55	не значит	3	2
56	эти формы	3	2
57	не существует	3	2
58	себя в	2	2
59	с одной	2	2
60	все эти	2	2
61	не означает	3	2
62	перейти к	3	2
63	и что	2	2
64	что такое	3	2
65	уже не	2	2
66	не имеет	4	2
67	можно было	2	2
68	не знает	6	2
69	о том	4	2
70	одна из	2	2
71	сказать что	3	2
72	как это	2	2
73	время как	2	2
74	это было	3	2
