N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	49
2	то есть	4	32
3	прежде всего	10	19
4	в его	10	18
5	не только	11	17
6	и его	8	17
7	и на	10	17
8	и не	29	15
9	в этом	13	15
10	в них	4	13
11	только в	4	13
12	но и	14	13
13	во время	4	12
14	как и	14	11
15	как бы	22	11
16	вовсе не	5	10
17	все это	5	9
18	в романе	3	9
19	для него	8	9
20	и др	2	9
21	в нем	12	9
22	в сущности	9	8
23	отношение к	2	8
24	все же	3	7
25	не может	18	7
26	таким образом	5	7
27	то же	8	7
28	все эти	5	7
29	как мы	10	7
30	то что	7	6
31	в себя	3	6
32	же время	5	6
33	здесь в	3	6
34	мы уже	3	6
35	времени и	2	6
36	во всех	4	6
37	так и	3	6
38	рядом с	5	6
39	с их	2	6
40	сказать что	2	6
41	и с	5	6
42	но он	4	6
43	точки зрения	13	6
44	в то	7	6
45	так как	4	6
46	в творчестве	2	6
47	с его	4	5
48	никогда не	9	5
49	в своем	4	5
50	уже в	2	5
51	из этих	2	5
52	но не	5	5
53	при этом	6	5
54	тот же	3	5
55	может быть	23	5
56	уже говорили	3	5
57	в своей	4	5
58	с точки	8	5
59	в эту	3	5
60	с другой	4	4
61	в жизни	3	4
62	и к	3	4
63	в себе	5	4
64	том что	2	4
65	но все	2	4
66	одна из	2	4
67	и о	2	4
68	в своих	2	4
69	в этих	6	4
70	значение в	2	4
71	и до	4	4
72	сих пор	7	4
73	до сих	7	4
74	в форме	2	4
75	отношения к	2	4
76	а в	5	4
77	лишь в	8	4
78	тем что	3	4
79	там где	4	4
80	с ним	3	4
81	но в	10	4
82	например у	2	3
83	превращается в	2	3
84	но здесь	5	3
85	в одном	12	3
86	человека и	2	3
87	не был	2	3
88	что он	13	3
89	в том	6	3
90	да и	5	3
91	а затем	2	3
92	во всем	3	3
93	было бы	5	3
94	из них	2	3
95	в самом	7	3
96	наконец в	3	3
97	даже в	3	3
98	и особенно	2	3
99	и со	3	3
100	ни в	2	3
101	но эти	4	3
102	он пишет	2	3
103	другой стороны	3	3
104	и все	6	3
105	к нему	5	3
106	можно было	3	3
107	его творчества	2	3
108	также и	3	3
109	их в	4	3
110	далеко не	4	3
111	о том	5	3
112	и это	4	3
113	в виду	3	3
114	автора и	2	2
115	диалога в	2	2
116	сознания и	3	2
117	что в	4	2
118	на фоне	5	2
119	могут быть	3	2
120	за пределы	3	2
121	нельзя сказать	2	2
122	затем и	2	2
123	та же	2	2
124	для понимания	2	2
125	на то	5	2
126	в отношении	3	2
127	он был	3	2
128	без всякого	2	2
129	в самой	4	2
130	по существу	3	2
131	но это	4	2
132	лишь как	2	2
133	мы сказали	2	2
134	есть в	3	2
135	и без	2	2
136	ничего не	3	2
137	до конца	4	2
138	мы здесь	2	2
139	в пределах	16	2
140	еще не	9	2
141	в формах	3	2
142	со всеми	3	2
143	совершенно не	4	2
144	в произведениях	3	2
145	очень хорошо	2	2
146	у него	6	2
147	хотя и	5	2
148	в него	7	2
149	речь и	2	2
150	себе и	4	2
151	ее в	2	2
152	в их	3	2
153	целый ряд	2	2
154	не во	2	2
155	того как	2	2
156	на материале	2	2
157	и эта	2	2
158	и даже	3	2
159	мы наблюдаем	2	2
160	так же	2	2
161	особенно в	2	2
162	здесь с	2	2
163	во всяком	2	2
164	и следовательно	3	2
165	и еще	2	2
166	в другом	7	2
167	в конце	2	2
168	в художественном	3	2
169	в произведении	4	2
170	здесь не	6	2
171	мы можем	2	2
