N	2gram	Propp_Isto_7	Tvorches
1	и в	24	20
2	не только	21	13
3	и т	17	13
4	никогда не	4	11
5	т д	16	11
6	как бы	4	11
7	таким образом	7	10
8	в то	2	10
9	там же	2	9
10	и его	3	9
11	и не	4	9
12	прежде всего	2	8
13	в том	7	8
14	при этом	4	8
15	но и	11	8
16	может быть	14	8
17	в этом	12	8
18	это не	10	7
19	представление о	3	7
20	что в	13	7
21	не может	14	7
22	то же	8	7
23	потому что	9	7
24	у него	10	6
25	в конце	3	6
26	что он	21	6
27	как и	6	6
28	так и	5	6
29	все это	8	6
30	а не	8	6
31	в основном	2	6
32	если он	3	5
33	но это	3	5
34	еще не	8	5
35	но не	6	5
36	например в	3	5
37	все же	9	5
38	и даже	3	5
39	так же	6	5
40	и на	2	5
41	о том	9	5
42	об этом	6	4
43	что у	4	4
44	и от	2	4
45	мы не	4	4
46	показывает что	8	4
47	том что	10	4
48	в дальнейшем	3	4
49	мы видим	10	4
50	что они	3	4
51	на его	2	4
52	хотя и	3	4
53	что она	5	4
54	когда он	3	4
55	как в	12	4
56	если не	4	4
57	все эти	2	4
58	не в	9	4
59	а в	10	4
60	в чем	5	4
61	ничего не	5	4
62	но в	5	4
63	же как	4	3
64	превращается в	3	3
65	с этой	6	3
66	в одной	2	3
67	в образе	3	3
68	к этому	2	3
69	с ним	5	3
70	одна из	7	3
71	так например	2	3
72	у нее	2	3
73	что не	2	3
74	одной из	4	3
75	своего рода	4	3
76	в самом	2	3
77	он не	6	3
78	в котором	2	3
79	и др	2	3
80	один из	7	3
81	в нем	6	3
82	то что	7	3
83	и это	2	3
84	вместе с	7	3
85	сих пор	3	3
86	д в	2	3
87	в их	4	3
88	тогда как	3	3
89	так как	8	3
90	в свете	3	3
91	уже не	2	3
92	этот вопрос	2	3
93	тем что	6	3
94	его в	3	3
95	до сих	2	3
96	уже в	3	2
97	не менее	5	2
98	восходит к	2	2
99	с другой	9	2
100	или даже	2	2
101	не знал	2	2
102	вовсе не	4	2
103	и ее	2	2
104	в литературе	2	2
105	в ее	2	2
106	что его	2	2
107	так что	3	2
108	этой задачи	3	2
109	брак с	2	2
110	на ней	3	2
111	не стоит	2	2
112	которой он	3	2
113	и если	3	2
114	на него	2	2
115	так в	4	2
116	но эта	2	2
117	и что	10	2
118	связь с	2	2
119	и у	2	2
120	и наконец	3	2
121	на этот	2	2
122	другой стороны	8	2
123	и он	3	2
124	не так	2	2
125	и по	3	2
126	друг друга	2	2
127	во многих	2	2
128	не столько	3	2
129	не случайно	3	2
130	что этот	2	2
131	в основе	2	2
132	из них	2	2
133	известно что	2	2
134	в которой	2	2
135	только в	6	2
136	в русской	5	2
137	при помощи	3	2
138	героя и	5	2
139	начинается с	4	2
140	тоже не	3	2
