N	2gram	Trubetskoy_1	TeoriaLi
1	в мире	5	24
2	не только	10	18
3	в качестве	3	17
4	и не	8	16
5	а в	4	14
6	и в	26	13
7	состоит в	2	13
8	может быть	10	12
9	так и	6	12
10	то есть	4	12
11	представляет собой	3	11
12	при этом	3	11
13	в этом	15	11
14	в том	11	11
15	но не	8	10
16	а не	5	10
17	в его	5	9
18	то же	4	9
19	что в	9	8
20	отношению к	3	8
21	но и	9	8
22	в себе	6	7
23	том что	7	7
24	точки зрения	13	7
25	по своей	2	7
26	в то	4	7
27	только в	4	7
28	с его	2	6
29	же время	2	6
30	еще не	2	6
31	лишь в	5	6
32	как бы	12	6
33	но в	7	6
34	в рамках	3	5
35	в своем	3	5
36	или иной	2	5
37	а также	2	5
38	не в	2	5
39	в самом	4	5
40	в нем	4	5
41	он не	4	5
42	уже не	3	5
43	с другой	8	5
44	между тем	2	5
45	мы имеем	2	5
46	не менее	3	4
47	в свою	2	4
48	можно сказать	3	4
49	более или	5	4
50	то что	7	4
51	отношение к	5	4
52	или менее	5	4
53	приводит к	2	4
54	не может	4	4
55	сказать что	2	4
56	никогда не	5	3
57	в этих	4	3
58	в отношении	6	3
59	прежде всего	2	3
60	и к	5	3
61	тем не	3	3
62	по своему	2	3
63	для него	3	3
64	без остатка	2	3
65	того что	3	3
66	той или	2	3
67	и потому	6	3
68	таким образом	22	3
69	а с	7	3
70	именно в	2	3
71	и что	4	3
72	и по	4	3
73	потому что	7	3
74	в этой	4	3
75	и т.д	6	3
76	все эти	6	3
77	к которому	2	3
78	только не	2	2
79	если бы	3	2
80	в конце	6	2
81	того же	6	2
82	что он	4	2
83	совершенно иной	2	2
84	к тому	6	2
85	и как	3	2
86	одной стороны	7	2
87	и больше	2	2
88	одной из	5	2
89	из которых	4	2
90	вслед за	2	2
91	к его	2	2
92	в виду	2	2
93	к жизни	5	2
94	так или	3	2
95	и особенно	2	2
96	не могло	2	2
97	не с	2	2
98	к нему	7	2
99	во всех	2	2
100	вместе с	15	2
101	и для	5	2
102	с одной	7	2
103	и о	3	2
104	с точки	6	2
105	и даже	3	2
106	так же	5	2
107	либо в	2	2
108	или иначе	3	2
109	и здесь	2	2
110	о том	6	2
111	и это	2	2
112	в которой	3	2
113	в области	9	2
