N	2gram	Trubetskoy_1	Freidism
1	таким образом	31	24
2	и не	8	23
3	не может	17	20
4	точки зрения	13	19
5	прежде всего	3	18
6	в этом	12	15
7	в его	5	15
8	мы можем	6	13
9	может быть	16	13
10	как и	9	11
11	как бы	10	11
12	то что	18	11
13	все эти	19	11
14	с точки	8	11
15	и потому	3	10
16	так и	10	10
17	как мы	2	10
18	самом деле	12	10
19	его в	5	10
20	с ним	6	10
21	но в	4	10
22	и в	23	9
23	во всех	10	9
24	по отношению	9	9
25	все что	9	8
26	что он	7	8
27	отношению к	9	8
28	еще не	5	8
29	он не	3	8
30	не только	7	8
31	все это	11	8
32	то же	4	8
33	только в	6	8
34	и все	7	8
35	так как	7	8
36	мы знаем	10	7
37	тот же	3	7
38	к нему	2	7
39	во всяком	2	7
40	мы видели	2	7
41	отношение к	4	7
42	в самом	8	7
43	что же	2	7
44	те же	2	7
45	и наконец	3	7
46	мы уже	4	7
47	всяком случае	2	7
48	никогда не	4	6
49	точку зрения	2	6
50	вовсе не	2	6
51	и ее	2	6
52	для него	2	6
53	того что	6	6
54	в ней	3	6
55	совершенно не	3	6
56	хотя бы	4	6
57	и с	5	6
58	и к	5	5
59	знаем что	8	5
60	в свою	2	5
61	не в	8	5
62	в этой	6	5
63	для этого	7	5
64	в то	6	5
65	что в	8	5
66	но и	9	5
67	на самом	7	5
68	в себя	2	5
69	для того	8	5
70	а в	3	5
71	и на	6	5
72	с этим	11	5
73	мы должны	4	5
74	не менее	7	4
75	но не	2	4
76	я не	2	4
77	в котором	2	4
78	в этих	3	4
79	то ни	3	4
80	из этих	8	4
81	в жизни	3	4
82	если мы	4	4
83	к тому	8	4
84	сводится к	2	4
85	всех этих	4	4
86	же время	2	4
87	которой мы	2	4
88	на этом	2	4
89	при этом	9	4
90	другими словами	2	4
91	конечно не	3	4
92	от того	3	4
93	в основе	2	4
94	в нем	3	4
95	все же	13	4
96	данном случае	3	4
97	не было	2	4
98	между ними	2	4
99	того чтобы	8	4
100	и для	6	4
101	в которой	5	4
102	в таком	4	4
103	с ними	2	4
104	в данном	3	4
105	этот вопрос	2	4
106	потому что	9	4
107	себя и	2	4
108	говорить о	2	4
109	не могут	4	3
110	о которой	2	3
111	если бы	8	3
112	тому что	2	3
113	в них	2	3
114	во втором	2	3
115	и от	5	3
116	что все	5	3
117	конечно в	2	3
118	в себе	5	3
119	теперь мы	2	3
120	по своему	5	3
121	сейчас же	3	3
122	она не	2	3
123	и может	3	3
124	было бы	3	3
125	в общем	6	3
126	в психике	7	3
127	с ее	2	3
128	бы то	2	3
129	только то	2	3
130	жизни и	2	3
131	на него	2	3
132	вместе с	6	3
133	этот процесс	2	3
134	и те	2	3
135	не знает	2	3
136	одной и	2	3
137	этой области	4	3
138	и что	8	3
139	свою очередь	2	3
140	и по	3	3
141	между двумя	5	3
142	такой же	2	3
143	у него	5	3
144	ничего общего	3	3
145	одна из	2	3
146	в сознании	6	3
147	борьбы с	2	2
148	этих двух	2	2
149	но все	5	2
150	только не	2	2
151	что это	5	2
152	быть и	5	2
153	в нашем	3	2
154	между собой	4	2
155	для себя	2	2
156	того же	9	2
157	с другой	6	2
158	с которыми	2	2
159	это не	3	2
160	же что	2	2
161	что таким	2	2
162	в конце	4	2
163	к этому	5	2
164	в такой	4	2
165	в одну	4	2
166	или вовсе	2	2
167	и уже	2	2
168	ничем не	4	2
169	тем не	4	2
170	для нас	3	2
171	ни было	2	2
172	том что	19	2
173	самого себя	4	2
174	на этой	2	2
175	что с	5	2
176	социальной жизни	4	2
177	одной стороны	2	2
178	из них	5	2
179	же касается	2	2
180	мы говорили	7	2
181	сил и	2	2
182	что мы	4	2
183	но для	2	2
184	но если	2	2
185	в процессе	2	2
186	конце концов	4	2
187	в своем	10	2
188	на почве	3	2
189	и до	3	2
190	каждого человека	2	2
191	как не	2	2
192	сих пор	8	2
193	все они	5	2
194	в их	4	2
195	отличается от	6	2
196	всех других	2	2
197	даже если	2	2
198	в совершенно	3	2
199	что как	4	2
200	а с	4	2
201	которых мы	3	2
202	освободиться от	2	2
203	с одной	3	2
204	что оно	3	2
205	а потому	5	2
206	из того	4	2
207	должны быть	3	2
208	и у	4	2
209	тем же	2	2
210	за ними	3	2
211	так же	8	2
212	как на	4	2
213	отличие от	3	2
214	не без	2	2
215	и то	4	2
216	очень много	3	2
217	их в	2	2
218	в психологии	3	2
219	потому и	2	2
220	они не	2	2
221	в своих	2	2
222	из этой	2	2
223	что и	7	2
224	и при	6	2
225	но как	2	2
226	в другом	2	2
227	и вообще	3	2
228	все то	2	2
229	при помощи	3	2
230	до сих	8	2
231	тех же	2	2
232	в области	4	2
233	в эту	2	2
234	и поэтому	2	2
235	в виду	2	2
