N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	41
2	то есть	12	24
3	таким образом	5	17
4	в нем	3	16
5	и с	3	16
6	и его	6	13
7	но и	3	13
8	в этом	6	12
9	все это	10	11
10	прежде всего	4	10
11	в самом	3	10
12	не только	7	10
13	так как	3	10
14	то что	8	10
15	в образах	2	9
16	и на	7	9
17	и все	6	9
18	о том	6	9
19	никогда не	3	8
20	в этой	5	8
21	но в	7	8
22	у него	7	7
23	вовсе не	5	7
24	том что	11	7
25	как бы	17	7
26	как и	12	7
27	что в	12	7
28	в его	13	7
29	что он	6	6
30	в году	7	6
31	один из	4	6
32	вместе с	2	6
33	или в	2	6
34	сказать что	2	6
35	в то	15	6
36	то же	13	5
37	с его	11	5
38	в литературе	2	5
39	так же	3	5
40	же время	12	5
41	и он	2	5
42	из них	2	5
43	так и	2	5
44	в своем	4	5
45	той же	3	5
46	еще в	2	5
47	но он	2	5
48	в себе	2	5
49	уже в	3	4
50	с другой	3	4
51	та же	4	4
52	и от	4	4
53	а затем	2	4
54	именно в	2	4
55	и как	4	4
56	не в	2	4
57	тот же	2	4
58	в ней	2	4
59	в котором	6	4
60	даже в	3	4
61	все же	5	4
62	не может	4	4
63	как в	8	4
64	самом деле	2	4
65	и наконец	2	4
66	и даже	3	4
67	одним из	4	4
68	а в	6	4
69	в основе	2	4
70	о котором	2	4
71	того же	2	4
72	с ним	3	4
73	перед нами	2	3
74	он сам	6	3
75	в книге	3	3
76	в одной	2	3
77	в духе	2	3
78	одной из	4	3
79	но это	5	3
80	не мог	2	3
81	в него	2	3
82	людей в	2	3
83	жизни и	3	3
84	в первой	2	3
85	при этом	7	3
86	и не	7	3
87	того что	3	3
88	что не	2	3
89	в данном	2	3
90	людей и	2	3
91	только в	5	3
92	в первом	2	3
93	в чем	2	3
94	потому что	5	3
95	времени и	4	2
96	не был	3	2
97	это уже	5	2
98	в частности	2	2
99	отчасти и	2	2
100	в этих	2	2
101	переходит в	2	2
102	человека и	4	2
103	что все	3	2
104	представление о	3	2
105	этот роман	2	2
106	что человек	3	2
107	человека с	2	2
108	в том	7	2
109	это и	3	2
110	так что	2	2
111	в дальнейшем	3	2
112	но не	3	2
113	до конца	2	2
114	со всеми	3	2
115	может быть	5	2
116	в своей	4	2
117	хотя и	3	2
118	он не	8	2
119	и когда	2	2
120	но если	3	2
121	был бы	2	2
122	этой книги	3	2
123	данном случае	2	2
124	и другие	3	2
125	еще более	2	2
126	мы находим	2	2
127	а не	5	2
128	и у	2	2
129	самим собой	4	2
130	на его	3	2
131	страх перед	2	2
132	так сказать	2	2
133	с темой	2	2
134	в романе	10	2
135	мира в	2	2
