N	3gram	Tiupa_Narr_1	Problema
1	о том что	6	14
2	тем не менее	3	12
3	в таком случае	2	10
4	так или иначе	2	6
5	в данном случае	4	5
6	с одной стороны	7	5
7	того или иного	2	5
8	с другой стороны	4	5
9	в связи с	2	5
10	более или менее	2	4
11	в то же	3	4
12	в том что	8	4
13	что иное как	2	3
14	можно сказать что	4	3
15	точно так же	2	3
16	не что иное	2	3
17	не может быть	5	3
18	том или ином	2	2
19	в том числе	6	2
20	том числе и	4	2
21	то или иное	2	2
22	бы то ни	3	2
23	не только в	2	2
24	можно было бы	2	2
25	сами по себе	2	2
26	подобно тому как	2	2
27	то есть в	2	2
