N	3gram	Medvedev_V_1	Psycholo
1	и т п	9	15
2	в том что	5	9
3	и т д	14	8
4	не может быть	8	8
5	о том что	3	7
6	в том чтобы	2	7
7	с одной стороны	2	5
8	с другой стороны	8	5
9	в зависимости от	5	5
10	этой точки зрения	2	5
11	подобно тому как	2	5
12	не в том	2	5
13	для того чтобы	3	5
14	в художественном произведении	4	3
15	в конце концов	2	3
16	только в том	2	3
17	не только не	2	3
18	в конечном счете	5	3
19	не было бы	4	2
20	в одном из	3	2
21	по этому поводу	7	2
22	более или менее	6	2
23	мы видели что	3	2
24	от того что	2	2
25	в этом отношении	13	2
26	вместе с тем	3	2
