N	2gram	Losev_Vlad_2	Komedia
1	и в	30	22
2	том что	12	12
3	в том	18	11
4	но и	8	11
5	не только	12	10
6	в то	9	10
7	как и	5	9
8	может быть	7	9
9	таким образом	3	8
10	и не	18	8
11	и его	6	8
12	о том	4	8
13	едва ли	3	7
14	в этой	4	7
15	что в	12	6
16	в отношении	3	6
17	в конце	13	6
18	что он	13	6
19	к тому	2	6
20	ни в	7	6
21	такого рода	2	6
22	и по	2	6
23	то же	4	6
24	не в	9	6
25	а в	11	6
26	в которой	4	6
27	уже в	3	5
28	прежде всего	6	5
29	при этом	5	5
30	в его	11	5
31	еще в	2	5
32	на его	4	5
33	так и	5	5
34	как в	3	5
35	все это	5	5
36	то время	6	5
37	и даже	10	5
38	потому что	9	5
39	именно в	4	4
40	в их	2	4
41	г в	2	4
42	к этому	6	4
43	по поводу	4	4
44	несмотря на	4	4
45	как мы	11	4
46	же в	2	4
47	же время	3	4
48	а также	10	4
49	в котором	5	4
50	можно судить	4	4
51	и особенно	3	4
52	в нем	4	4
53	что и	3	4
54	и вот	3	4
55	время как	2	4
56	в результате	5	4
57	точки зрения	7	4
58	из его	2	4
59	конце концов	3	4
60	так как	5	4
61	но в	8	4
62	после смерти	4	3
63	казалось бы	2	3
64	не менее	7	3
65	однако в	2	3
66	в них	3	3
67	i с	3	3
68	на то	2	3
69	судить по	4	3
70	у нас	6	3
71	и как	3	3
72	по своему	2	3
73	здесь в	2	3
74	после того	2	3
75	тот же	5	3
76	и сам	2	3
77	во второй	2	3
78	в начале	4	3
79	в частности	2	3
80	и о	4	3
81	у него	19	3
82	да и	3	3
83	хотя и	6	3
84	он не	4	3
85	даже в	2	3
86	все же	9	3
87	в целом	4	3
88	отношение к	4	3
89	к этим	2	3
90	так же	4	3
91	того как	2	3
92	в течение	5	3
93	в году	24	3
94	там же	12	3
95	здесь мы	3	3
96	не мог	8	3
97	мы не	2	3
98	и на	4	3
99	в более	2	3
100	в этом	20	3
101	и с	14	3
102	в виде	3	3
103	только в	6	3
104	и все	7	3
105	его в	4	3
106	в чем	2	3
107	как это	7	3
108	ничего не	2	3
109	до года	2	2
110	еще и	6	2
111	и во	2	2
112	на все	2	2
113	вовсе не	4	2
114	в свою	3	2
115	в следующем	3	2
116	тем не	6	2
117	мы знаем	4	2
118	и можно	2	2
119	он был	6	2
120	мы видели	2	2
121	а к	2	2
122	на этом	2	2
123	но не	3	2
124	совсем не	4	2
125	а то	2	2
126	того же	5	2
127	до конца	7	2
128	было бы	9	2
129	со своей	2	2
130	и из	2	2
131	в самом	2	2
132	между прочим	7	2
133	которую он	7	2
134	всяком случае	6	2
135	в эти	7	2
136	для себя	5	2
137	к числу	2	2
138	всех вещей	2	2
139	говоря уже	2	2
140	то что	20	2
141	наряду с	2	2
142	вместе с	8	2
143	не говоря	3	2
144	со стороны	4	2
145	или менее	3	2
146	второй половине	2	2
147	в сущности	2	2
148	не может	9	2
149	видно из	2	2
150	эти годы	4	2
151	а мы	2	2
152	и хотя	2	2
153	и притом	2	2
154	к нему	2	2
155	правда в	2	2
156	нас в	2	2
157	где он	3	2
158	но это	4	2
159	во всяком	6	2
160	к ней	3	2
161	но он	3	2
162	что касается	3	2
163	в своих	2	2
164	это время	4	2
165	в себе	6	2
166	как будто	2	2
167	будто бы	2	2
168	уже о	2	2
169	отличие от	3	2
170	в области	3	2
171	или по	2	2
