N	2gram	Medvedev_V_1	Otkroven
1	у него	6	22
2	и в	26	19
3	но и	10	13
4	и не	19	13
5	в этом	26	12
6	а не	7	11
7	не в	6	11
8	человека в	2	11
9	может быть	22	11
10	не только	25	11
11	человека и	3	10
12	в нем	6	10
13	никогда не	4	9
14	не было	7	9
15	прежде всего	13	9
16	и он	2	8
17	лишь в	2	7
18	он не	2	7
19	в его	14	7
20	все это	10	6
21	как и	7	6
22	него в	3	5
23	то что	6	5
24	а в	3	5
25	достоевского и	2	5
26	о его	2	5
27	в том	15	5
28	для него	8	5
29	в этой	4	5
30	в самом	4	5
31	в творчестве	3	5
32	с его	3	4
33	т е	18	4
34	он сам	2	4
35	того чтобы	3	4
36	что не	3	4
37	и его	6	4
38	все эти	6	4
39	не может	17	4
40	что в	10	4
41	не могут	7	3
42	и есть	5	3
43	это не	7	3
44	что он	4	3
45	того что	3	3
46	для того	3	3
47	хотя бы	19	3
48	в своих	2	3
49	еще не	2	3
50	и от	3	3
51	могут быть	5	3
52	и ее	4	3
53	в себе	6	3
54	было бы	7	3
55	когда он	3	3
56	о том	10	3
57	как бы	5	3
58	все же	5	2
59	что и	3	2
60	ее в	4	2
61	и для	2	2
62	достоевский о	2	2
63	с тем	3	2
64	в единстве	4	2
65	можно ли	2	2
66	так и	5	2
67	в своем	8	2
68	что у	2	2
69	что все	3	2
70	к этому	9	2
71	по себе	2	2
72	и к	3	2
73	должно быть	2	2
74	в дневнике	2	2
75	в ее	4	2
76	его не	3	2
77	в которой	2	2
78	что для	3	2
79	том что	8	2
80	в другом	2	2
81	что они	3	2
82	сказать что	5	2
83	ума и	2	2
84	даже и	3	2
85	момент в	3	2
86	мысль о	2	2
87	его в	3	2
88	художественном творчестве	6	2
89	в своей	4	2
90	хотя и	2	2
91	но в	2	2
92	и потому	2	2
