N	2gram	Tiupa_Narr_2	VrazhdaK
1	не только	26	9
2	в этом	13	8
3	и что	2	8
4	и в	13	8
5	но и	15	7
6	что в	4	7
7	достоевского и	2	7
8	то что	8	7
9	и все	4	7
10	в котором	5	6
11	в нем	5	6
12	все же	6	6
13	и даже	3	6
14	как и	4	6
15	в начале	2	6
16	но в	6	6
17	о нем	3	6
18	то же	4	5
19	и не	14	5
20	у него	6	5
21	об этом	4	5
22	между тем	3	5
23	в то	5	5
24	же время	3	5
25	для нас	2	4
26	как бы	6	4
27	это не	3	4
28	что он	5	4
29	так же	2	4
30	с ним	4	4
31	в своих	2	4
32	может быть	10	4
33	при этом	14	4
34	несмотря на	2	4
35	о том	5	4
36	в ней	2	4
37	я не	5	3
38	и уже	4	3
39	с его	3	3
40	давно уже	2	3
41	в своем	6	3
42	что у	2	3
43	в конце	4	3
44	на то	2	3
45	и у	4	3
46	в том	14	3
47	раз в	2	3
48	и его	3	3
49	том что	13	3
50	в его	6	3
51	далеко не	5	3
52	но он	2	3
53	в чем	2	3
54	он не	5	3
55	и т.п	6	2
56	место в	5	2
57	а с	2	2
58	он сам	2	2
59	в известном	3	2
60	в своей	4	2
61	не менее	4	2
62	никогда не	6	2
63	отнюдь не	4	2
64	столь же	2	2
65	как раз	3	2
66	не может	8	2
67	а в	9	2
68	тогда как	15	2
69	таким образом	5	2
70	но это	2	2
71	о которой	3	2
72	в той	5	2
73	уже не	4	2
74	к себе	7	2
75	и он	2	2
76	с точки	2	2
77	же в	4	2
78	в глазах	4	2
79	тем более	2	2
80	в этой	4	2
81	что я	3	2
82	же как	2	2
83	за границей	2	2
84	точки зрения	5	2
85	в свою	2	2
86	в себе	8	2
87	для него	4	2
88	еще не	2	2
89	во время	2	2
90	в лицо	2	2
91	о чем	2	2
92	в мире	4	2
93	ответ на	5	2
94	с нею	2	2
95	одна из	3	2
96	а также	6	2
97	в него	2	2
