N	2gram	Tiupa_Lite_1	NovoeSre
1	а не	16	17
2	не может	5	16
3	и в	8	16
4	во имя	2	15
5	нового времени	2	12
6	и не	12	11
7	и есть	3	10
8	что в	3	9
9	жизни и	3	8
10	в том	16	8
11	как и	6	7
12	в этом	12	7
13	может быть	13	7
14	с его	5	6
15	никогда не	4	6
16	не в	8	6
17	лишь в	4	6
18	должен быть	2	5
19	в нем	2	5
20	в жизни	6	5
21	культуры в	4	5
22	xix века	6	5
23	не только	24	5
24	не менее	7	4
25	то что	10	4
26	перестает быть	4	4
27	это не	4	4
28	не было	3	4
29	потому что	3	4
30	прежде всего	11	4
31	о том	2	4
32	жизни не	2	3
33	но и	17	3
34	не есть	2	3
35	должна быть	2	3
36	в своей	4	3
37	с другой	3	3
38	человека и	2	3
39	к тому	2	3
40	что такое	2	3
41	в мире	2	3
42	в основе	3	3
43	подобно тому	2	3
44	как в	5	3
45	еще не	4	3
46	тому как	2	3
47	в россии	2	3
48	за пределы	2	3
49	свободы от	3	2
50	я не	7	2
51	себя в	6	2
52	культуры нового	3	2
53	у него	3	2
54	все они	2	2
55	так и	4	2
56	для этого	4	2
57	и т.п	4	2
58	мир и	2	2
59	а в	3	2
60	с одной	2	2
61	все эти	2	2
62	уже не	7	2
63	роль в	2	2
64	одной стороны	2	2
65	и даже	3	2
66	хотя бы	2	2
67	духовной жизни	4	2
68	но не	4	2
69	том что	14	2
70	можно было	2	2
71	и культуры	2	2
72	одна из	3	2
73	могут быть	2	2
74	не к	2	2
75	в себе	7	2
76	с их	3	2
77	в то	5	2
78	как будто	2	2
79	такого рода	10	2
80	xviii века	2	2
81	как это	8	2
82	должно стать	2	2
83	более не	2	2
84	но в	3	2
85	нашего времени	2	2
