N	2gram	Vinokur_St_2	Mirosoze
1	может быть	2	30
2	не только	19	29
3	и в	29	28
4	не может	2	28
5	но и	19	25
6	а не	5	25
7	он не	9	24
8	в этом	21	20
9	не было	3	18
10	не в	4	16
11	потому что	9	16
12	в ней	7	15
13	в своей	7	15
14	никогда не	3	14
15	он был	2	14
16	до конца	3	14
17	в нем	4	13
18	и он	3	12
19	и это	2	12
20	для него	4	11
21	в самом	7	11
22	и не	9	11
23	что в	19	10
24	в своем	9	10
25	прежде всего	5	10
26	что он	13	10
27	было бы	5	10
28	и потому	2	10
29	но он	3	9
30	с тем	7	9
31	в его	13	9
32	и его	6	9
33	но не	3	8
34	в котором	7	8
35	не был	3	7
36	того что	5	7
37	в конце	2	7
38	но в	8	7
39	в себе	2	7
40	в том	27	6
41	в этой	2	6
42	все это	11	6
43	и на	6	6
44	вместе с	7	6
45	только в	2	6
46	в которой	11	6
47	и я	2	5
48	у нас	3	5
49	как и	2	5
50	то что	11	5
51	нет и	2	5
52	в этих	3	4
53	с этой	2	4
54	не к	2	4
55	ни с	2	4
56	в их	3	4
57	и по	3	4
58	точки зрения	5	4
59	должен был	4	4
60	в них	2	4
61	xix века	3	4
62	что и	2	4
63	тем что	3	4
64	к тому	10	3
65	не мог	3	3
66	не имеет	2	3
67	его не	3	3
68	особенно в	2	3
69	с этим	3	3
70	его в	2	3
71	так как	2	3
72	это очень	2	3
73	и с	4	3
74	с его	2	3
75	в ее	2	3
76	том что	27	3
77	ничего не	4	3
78	вряд ли	3	3
79	в движении	2	3
80	хотя бы	3	3
81	по своему	2	2
82	вообще не	3	2
83	вопрос о	6	2
84	его как	2	2
85	о своей	2	2
86	о чем	5	2
87	для того	7	2
88	одним из	6	2
89	на этот	2	2
90	в виду	7	2
91	пишет он	2	2
92	все эти	2	2
93	у всех	2	2
94	о мире	2	2
95	и что	6	2
96	потому ли	2	2
97	и те	2	2
98	также и	2	2
99	сказать что	2	2
100	которую он	2	2
101	в начале	3	2
102	в истории	2	2
103	как бы	5	2
104	о том	17	2
105	как он	2	2
106	том смысле	2	2
107	в россии	3	2
108	а как	4	2
109	если бы	2	2
110	к этому	4	2
111	в то	2	2
112	до сих	6	2
113	и к	4	2
114	еще в	2	2
115	все же	6	2
116	сих пор	5	2
117	как в	3	2
118	и самый	2	2
119	истории и	2	2
120	т е	10	2
121	в той	5	2
122	того чтобы	6	2
123	и как	2	2
124	эти слова	2	2
125	в каком	2	2
126	от его	2	2
127	отношении к	3	2
