N	2gram	Voloshinov_1	PoTuStor
1	может быть	13	17
2	и в	38	16
3	и пр	4	12
4	прежде всего	21	9
5	таким образом	7	9
6	в этом	10	9
7	мы можем	7	9
8	совершенно не	3	8
9	и его	7	8
10	и с	5	8
11	точки зрения	10	8
12	не может	12	8
13	с его	7	7
14	сказать что	3	7
15	не только	27	7
16	и это	7	6
17	и к	4	6
18	с точки	5	6
19	самом деле	4	6
20	для него	3	6
21	при этом	9	6
22	конечно не	3	6
23	я и	2	6
24	отношение к	2	5
25	все эти	2	5
26	что такое	4	5
27	нуждается в	2	5
28	еще не	3	5
29	как бы	28	5
30	с самого	4	4
31	самого начала	4	4
32	в нем	4	4
33	и их	5	4
34	отнюдь не	10	4
35	но и	13	4
36	так и	6	4
37	все это	4	4
38	хотя бы	18	4
39	и все	4	4
40	так как	7	4
41	и не	14	4
42	на самом	3	4
43	как мы	9	4
44	но мы	2	4
45	можно сказать	4	4
46	и наконец	5	4
47	и даже	3	4
48	и на	6	4
49	в этой	6	4
50	художественного творчества	5	4
51	только в	6	4
52	его в	4	4
53	для всех	2	4
54	но в	5	4
55	в его	6	4
56	в этих	2	3
57	жизни и	3	3
58	во всех	6	3
59	вместе с	5	3
60	сих пор	2	3
61	отношения к	3	3
62	в одном	3	3
63	те же	4	3
64	и вот	3	3
65	в том	2	3
66	а в	5	3
67	том что	3	3
68	и как	9	3
69	с другими	2	3
70	то что	8	3
71	их в	3	3
72	в основе	2	3
73	только на	3	3
74	если б	4	3
75	как это	5	3
76	в области	5	3
77	и потому	2	3
78	между ними	3	3
79	не существует	4	2
80	в голову	3	2
81	нет и	3	2
82	один из	4	2
83	что и	3	2
84	в душе	2	2
85	не будет	3	2
86	связанных с	3	2
87	другими словами	7	2
88	как не	2	2
89	в частности	3	2
90	никогда не	7	2
91	между собой	2	2
92	если мы	4	2
93	конечно мы	2	2
94	и так	6	2
95	и содержание	2	2
96	с этим	2	2
97	в жизни	2	2
98	то же	14	2
99	быть может	3	2
100	что оно	3	2
101	к этому	2	2
102	не знает	3	2
103	с помощью	6	2
104	что он	2	2
105	мы не	9	2
106	и т.п	21	2
107	что мы	11	2
108	и для	3	2
109	войти в	2	2
110	для нас	3	2
111	да еще	2	2
112	как и	10	2
113	своей жизни	5	2
114	мы видим	3	2
115	так же	4	2
116	но это	2	2
117	мы уже	10	2
118	по своему	3	2
119	а на	2	2
120	он не	2	2
121	как с	2	2
122	всех его	2	2
123	в каком	2	2
124	в начале	3	2
125	и вообще	2	2
126	было бы	7	2
127	что это	4	2
128	все то	2	2
129	связанные с	2	2
130	но ведь	6	2
131	о том	4	2
132	в самом	4	2
133	но как	2	2
134	в своей	2	2
135	с ним	2	2
