N	2gram	Berdyaev_M_1	EvropaiC
1	в том	6	31
2	и в	28	24
3	том что	3	20
4	все эти	2	19
5	не может	28	18
6	то что	5	17
7	может быть	30	15
8	все же	2	15
9	точки зрения	4	13
10	в своем	10	12
11	до сих	2	12
12	сих пор	2	12
13	в этом	20	12
14	все это	6	11
15	с этим	3	11
16	отношению к	2	10
17	как бы	2	10
18	по отношению	2	10
19	все что	2	10
20	как и	5	9
21	что в	10	9
22	не в	16	8
23	в самом	11	8
24	чем у	4	8
25	если бы	2	8
26	и все	10	8
27	к тому	3	7
28	но и	25	7
29	и не	11	7
30	и что	2	7
31	по своей	2	7
32	о том	2	7
33	что он	10	7
34	того чтобы	2	7
35	для того	2	7
36	должна быть	6	6
37	в этой	6	6
38	отличается от	2	6
39	того что	7	6
40	и на	6	6
41	так как	3	6
42	с ним	2	6
43	что и	4	6
44	в мире	10	6
45	только в	6	6
46	вместе с	6	6
47	и от	2	5
48	у него	17	5
49	и их	3	5
50	и с	3	5
51	потому что	16	5
52	его в	3	5
53	но в	7	5
54	к этому	2	5
55	и к	2	5
56	в то	2	5
57	по своему	2	5
58	в его	9	5
59	не только	29	5
60	по сравнению	2	5
61	и для	2	5
62	лишь в	6	5
63	в себе	7	5
64	как будто	2	5
65	в которой	6	5
66	не могут	5	4
67	никогда не	14	4
68	самого себя	2	4
69	в конце	7	4
70	его собственной	2	4
71	это есть	3	4
72	одним из	2	4
73	отношение к	4	4
74	в их	4	4
75	не так	3	4
76	должно быть	3	4
77	он не	24	4
78	конце концов	2	4
79	не есть	9	4
80	оказывается что	2	4
81	и у	2	4
82	хотя бы	3	4
83	может не	2	3
84	в этих	4	3
85	вопрос о	2	3
86	для нас	3	3
87	в нем	13	3
88	и по	4	3
89	а в	4	3
90	это не	5	3
91	во имя	10	3
92	в начале	2	3
93	в истории	2	3
94	и потому	10	3
95	бы в	2	3
96	с тем	9	3
97	прежде всего	10	3
98	в жизни	3	3
99	у нас	5	3
100	от него	4	3
101	чем в	2	3
102	конечно не	3	3
103	как для	2	3
104	на земле	2	3
105	ко всем	3	3
106	и это	12	3
107	себя и	3	2
108	с этой	4	2
109	все в	6	2
110	для него	11	2
111	на этом	3	2
112	в свою	2	2
113	нет в	4	2
114	к нему	7	2
115	в ней	15	2
116	но если	3	2
117	в виду	2	2
118	в котором	8	2
119	только один	2	2
120	на том	3	2
121	этот процесс	3	2
122	заключает в	3	2
123	в самой	7	2
124	и те	2	2
125	в которых	4	2
126	одно из	3	2
127	не было	18	2
128	также и	2	2
129	то есть	3	2
130	в основе	2	2
131	и там	4	2
132	от нее	5	2
133	в них	4	2
134	он должен	3	2
135	должен быть	2	2
136	если он	5	2
137	но не	8	2
138	она не	4	2
139	было бы	10	2
140	жизни и	2	2
141	никто не	2	2
142	только одно	3	2
143	которую он	2	2
144	не знает	4	2
145	все его	3	2
