N	2gram	Berdyaev_V_1	Problemy
1	и не	20	31
2	и в	16	29
3	в его	4	24
4	а не	7	22
5	в этом	4	22
6	как бы	5	19
7	в нем	4	19
8	для него	2	18
9	не только	2	15
10	то что	9	15
11	но и	5	14
12	уже не	2	13
13	как и	4	12
14	только в	2	10
15	с его	3	9
16	это не	2	9
17	но не	2	9
18	все эти	3	9
19	что он	4	8
20	что в	3	8
21	как не	3	8
22	в своей	3	8
23	потому что	4	8
24	в том	3	8
25	прежде всего	2	7
26	том что	2	7
27	не в	3	7
28	так и	4	7
29	в форме	2	7
30	а в	2	7
31	но в	3	7
32	все это	5	6
33	в конце	3	6
34	не могут	2	6
35	в мире	5	6
36	могут быть	2	6
37	этого мира	3	6
38	и потому	7	6
39	так как	9	6
40	должна быть	3	5
41	еще не	8	5
42	мир и	2	5
43	во всяком	2	5
44	между тем	2	5
45	и это	2	5
46	с ним	2	5
47	мира в	2	5
48	превращается в	3	4
49	что было	2	4
50	бы и	3	4
51	что и	3	4
52	ивана карамазова	2	4
53	но это	3	4
54	и т	2	4
55	и для	3	4
56	не было	3	4
57	тем что	2	4
58	должно быть	3	4
59	их в	3	4
60	никогда не	3	3
61	в них	3	3
62	ни в	3	3
63	одна из	2	3
64	все что	4	3
65	оно не	3	3
66	в духе	2	3
67	тому что	3	3
68	в себя	2	3
69	за ним	3	3
70	его и	2	2
71	хотя бы	3	2
72	и во	2	2
73	в жизни	3	2
74	его к	2	2
75	не есть	6	2
76	жизни и	3	2
77	на себя	5	2
78	тот же	3	2
79	и сам	2	2
80	конечно не	2	2
81	в котором	4	2
82	один из	2	2
83	и что	3	2
84	можно было	2	2
85	в ней	4	2
86	великого инквизитора	36	2
87	и есть	4	2
88	в истории	8	2
