N	2gram	Bakhtin_Pr_5	Vladivir
1	и в	35	40
2	то что	10	28
3	и не	27	25
4	не только	10	25
5	то есть	16	24
6	у него	4	24
7	но и	14	18
8	в том	5	18
9	том что	3	18
10	что в	6	17
11	в этом	14	16
12	так что	5	14
13	в его	21	14
14	не может	18	14
15	точки зрения	7	13
16	вовсе не	7	13
17	в виде	7	13
18	только в	6	13
19	сказать что	3	12
20	даже и	3	12
21	в конце	5	12
22	никогда не	4	11
23	таким образом	7	11
24	потому что	8	11
25	о том	2	11
26	прежде всего	12	10
27	ни в	2	10
28	не просто	2	10
29	как раз	4	10
30	и его	14	10
31	не менее	2	9
32	что это	4	9
33	уже не	3	9
34	есть только	2	9
35	и с	12	9
36	и то	5	9
37	в своей	4	9
38	что же	7	9
39	в себе	5	9
40	в своем	2	8
41	для него	14	8
42	может быть	14	8
43	так же	7	8
44	и что	6	8
45	раз и	3	8
46	он не	13	8
47	как мы	8	8
48	а не	4	8
49	что все	2	7
50	к тому	6	7
51	и как	2	7
52	хотя и	2	7
53	а в	7	7
54	так как	4	7
55	с тем	3	7
56	того что	3	7
57	в то	11	7
58	что и	3	7
59	вместе с	2	7
60	как и	18	7
61	да и	5	6
62	и даже	5	6
63	не мог	3	6
64	и на	6	6
65	и от	3	6
66	по себе	4	6
67	то в	2	6
68	во всем	4	6
69	почему же	2	6
70	так и	8	6
71	хотя бы	2	6
72	с точки	2	6
73	но это	6	6
74	и это	5	6
75	с другой	4	5
76	тому же	3	5
77	совсем не	3	5
78	должно быть	3	5
79	в отношении	9	5
80	все эти	3	5
81	в ней	2	5
82	в одном	6	5
83	что он	24	5
84	мы уже	8	5
85	еще в	4	5
86	для себя	7	5
87	только на	4	5
88	можно было	2	5
89	конце концов	3	5
90	тем что	4	5
91	ничего не	3	5
92	тому что	2	4
93	вопрос о	2	4
94	в дальнейшем	2	4
95	такой же	3	4
96	в глаза	5	4
97	до конца	4	4
98	мог бы	2	4
99	в самом	6	4
100	в котором	3	4
101	бы и	2	4
102	мы должны	3	4
103	и все	15	4
104	оно должно	2	4
105	но не	6	4
106	здесь в	2	4
107	еще не	7	4
108	было бы	3	4
109	даже в	5	4
110	говорит о	2	4
111	то же	15	4
112	а с	3	4
113	все же	8	4
114	но в	19	4
115	или как	3	4
116	уже в	3	3
117	я не	8	3
118	то ни	3	3
119	это не	3	3
120	мы знаем	2	3
121	но все	4	3
122	при этом	2	3
123	но для	2	3
124	как бы	31	3
125	в виду	3	3
126	всяком случае	4	3
127	и тут	2	3
128	в нем	16	3
129	к нему	13	3
130	мы видели	2	3
131	бы то	3	3
132	сводится к	3	3
133	этого не	3	3
134	этом смысле	3	3
135	к правде	2	3
136	за пределы	3	3
137	вполне понятно	2	3
138	в отличие	2	3
139	на самом	9	3
140	и у	4	3
141	не в	10	3
142	и для	8	3
143	жизнь и	2	3
144	во всяком	4	3
145	и вообще	2	3
146	в чем	4	3
147	отличие от	2	3
148	это было	2	3
149	он сам	6	2
150	но на	4	2
151	в сторону	2	2
152	в тонах	2	2
153	в этих	2	2
154	с этой	2	2
155	что на	2	2
156	к своему	5	2
157	что его	2	2
158	обращает на	2	2
159	все и	4	2
160	же время	10	2
161	но что	2	2
162	и наконец	7	2
163	не о	4	2
164	же и	4	2
165	той или	4	2
166	себе и	7	2
167	в целом	3	2
168	его второй	3	2
169	другой стороны	3	2
170	но только	3	2
171	и по	2	2
172	друг друга	2	2
173	время как	2	2
174	и так	4	2
175	нему и	4	2
176	но как	4	2
177	в начале	3	2
178	по своей	2	2
179	что даже	2	2
180	ни на	2	2
181	его в	4	2
182	и ни	2	2
183	бы в	4	2
184	нет ни	2	2
185	только с	3	2
186	и этот	2	2
187	с его	7	2
188	не как	3	2
189	с этим	3	2
190	в жизни	2	2
191	быть в	2	2
192	с таким	2	2
193	и к	12	2
194	не хочет	2	2
195	одно и	3	2
196	из них	3	2
197	одной из	2	2
198	в сущности	14	2
199	он уже	3	2
200	в этот	2	2
201	как можно	2	2
202	но уже	2	2
203	в мире	4	2
204	быть и	2	2
205	из этого	2	2
206	на него	5	2
207	только что	3	2
208	так вот	3	2
209	еще до	2	2
210	сам по	2	2
211	всей своей	2	2
212	в другом	12	2
213	в которой	2	2
214	живое и	2	2
215	же не	4	2
