N	2gram	Losev_Dial_3	Mirosoze
1	может быть	13	30
2	не только	23	29
3	и в	24	28
4	не может	19	28
5	но и	9	25
6	а не	26	25
7	он не	5	24
8	в этом	8	20
9	не было	3	18
10	у него	2	17
11	не в	3	16
12	это –	16	16
13	потому что	7	16
14	в ней	2	15
15	и есть	16	14
16	никогда не	7	14
17	в нем	3	13
18	он –	7	12
19	и он	2	12
20	и это	4	12
21	для него	4	11
22	в самом	7	11
23	и не	27	11
24	что в	7	10
25	в своем	3	10
26	прежде всего	8	10
27	и все	6	10
28	что он	13	10
29	было бы	5	10
30	и потому	2	10
31	в его	2	9
32	не есть	54	9
33	и его	5	9
34	из самых	3	8
35	но не	2	8
36	быть может	3	7
37	того что	12	7
38	но в	2	7
39	нет ничего	9	7
40	к нему	3	7
41	в себе	2	7
42	должна быть	6	6
43	в том	5	6
44	все это	6	6
45	и на	3	6
46	только в	5	6
47	не могут	4	5
48	это не	4	5
49	и я	3	5
50	если нет	4	5
51	– не	7	5
52	мира и	3	5
53	у нас	4	5
54	как и	7	5
55	то что	14	5
56	что есть	4	5
57	нет и	4	5
58	у человека	2	5
59	с этой	5	4
60	не знает	3	4
61	в их	2	4
62	и по	2	4
63	а в	2	4
64	точки зрения	25	4
65	в них	5	4
66	это и	7	4
67	она не	3	4
68	за пределы	3	4
69	что и	6	4
70	есть не	9	4
71	или к	2	4
72	уже не	5	4
73	тем что	3	4
74	значит что	24	4
75	себя и	2	3
76	о себе	2	3
77	и вот	2	3
78	к тому	4	3
79	для нас	2	3
80	это есть	8	3
81	это значит	24	3
82	плоти и	2	3
83	но если	6	3
84	только одно	2	3
85	только и	2	3
86	не имеет	11	3
87	должно быть	3	3
88	его не	2	3
89	мир в	3	3
90	и мира	4	3
91	с этим	3	3
92	так как	6	3
93	и с	6	3
94	на этом	2	3
95	с его	2	3
96	одно из	5	3
97	он должен	3	3
98	том что	8	3
99	учение о	8	3
100	есть и	12	3
101	ничего не	17	3
102	конечно не	4	3
103	себя в	2	3
104	– все	3	3
105	хотя бы	4	3
106	ни того	9	2
107	что дух	4	2
108	вообще не	2	2
109	и от	3	2
110	вопрос о	5	2
111	его как	3	2
112	– значит	4	2
113	и нет	7	2
114	для того	3	2
115	есть также	2	2
116	бога не	2	2
117	в виду	7	2
118	жизни и	5	2
119	могут быть	2	2
120	отличается от	8	2
121	быть не	2	2
122	все эти	3	2
123	и что	15	2
124	есть только	12	2
125	время как	4	2
126	людей и	2	2
127	также и	2	2
128	сказать что	4	2
129	даже и	7	2
130	он и	3	2
131	в истории	4	2
132	как бы	3	2
133	о том	6	2
134	не значит	3	2
135	когда мы	2	2
136	бы в	2	2
137	не существует	10	2
138	в основе	3	2
139	с которой	2	2
140	к этой	2	2
141	если бы	6	2
142	и во	2	2
143	личности в	2	2
144	нет никаких	2	2
145	и уж	2	2
146	в то	5	2
147	все что	3	2
148	то время	4	2
149	ведь это	2	2
150	никто не	2	2
151	и к	5	2
152	личность и	2	2
153	и когда	2	2
154	о нем	4	2
155	же можно	2	2
156	все же	3	2
157	я бы	3	2
158	все –	2	2
159	и сама	5	2
160	разного рода	2	2
161	в христианстве	3	2
162	истории и	4	2
163	т е	48	2
164	и она	2	2
165	и у	2	2
166	и как	8	2
167	и для	2	2
168	и нужно	2	2
169	в каком	3	2
170	от его	2	2
