N	2gram	Vygotskiy__2	Mirosoze
1	может быть	18	30
2	не только	12	29
3	и в	32	28
4	не может	17	28
5	но и	10	25
6	а не	7	25
7	он не	6	24
8	в этом	13	20
9	не было	2	18
10	не в	8	16
11	потому что	21	16
12	в ней	5	15
13	в своей	3	15
14	никогда не	9	14
15	до конца	3	14
16	в нем	4	13
17	и он	3	12
18	и это	4	12
19	в самом	12	11
20	и не	10	11
21	что в	20	10
22	и все	4	10
23	что он	13	10
24	было бы	11	10
25	в творчестве	4	10
26	но он	3	9
27	с тем	11	9
28	в его	2	9
29	и его	7	9
30	из самых	2	8
31	но не	2	8
32	в самой	2	7
33	того что	8	7
34	в конце	3	7
35	но в	3	7
36	к нему	2	7
37	в себе	2	7
38	в том	37	6
39	в этой	6	6
40	все это	5	6
41	и на	5	6
42	вместе с	2	6
43	только в	7	6
44	в которой	2	6
45	не могут	3	5
46	это не	2	5
47	как и	10	5
48	то что	21	5
49	в этих	2	4
50	с этой	4	4
51	всю жизнь	2	4
52	не к	3	4
53	отношение к	2	4
54	в их	3	4
55	до самой	2	4
56	и по	4	4
57	а в	4	4
58	увидим что	2	4
59	в которых	3	4
60	точки зрения	17	4
61	и этот	2	4
62	должен был	2	4
63	в них	2	4
64	не как	3	4
65	один из	3	4
66	она не	2	4
67	что и	17	4
68	есть не	4	4
69	тем что	9	4
70	значит что	3	4
71	и вот	3	3
72	к тому	7	3
73	для нас	2	3
74	это значит	3	3
75	в него	2	3
76	и их	3	3
77	заключает в	2	3
78	в свете	2	3
79	не имеет	4	3
80	не так	2	3
81	с этим	4	3
82	так как	12	3
83	это очень	2	3
84	то есть	21	3
85	и с	4	3
86	на этом	3	3
87	с его	2	3
88	в жизни	4	3
89	интерес к	2	3
90	в ее	2	3
91	том что	21	3
92	ничего не	4	3
93	на том	2	3
94	когда он	10	3
95	бы и	3	3
96	хотя бы	3	3
97	место в	2	2
98	по своему	3	2
99	и от	2	2
100	что без	2	2
101	в свою	3	2
102	для того	13	2
103	и мы	6	2
104	на этот	2	2
105	в виду	3	2
106	себе и	2	2
107	его с	2	2
108	жизни и	4	2
109	могут быть	4	2
110	отличается от	2	2
111	все эти	7	2
112	у всех	2	2
113	и что	22	2
114	есть только	5	2
115	и те	4	2
116	время как	3	2
117	также и	2	2
118	сказать что	7	2
119	как бы	6	2
120	о том	6	2
121	как он	2	2
122	не значит	2	2
123	когда мы	2	2
124	не существует	2	2
125	в основе	11	2
126	если бы	6	2
127	мы видим	4	2
128	в то	5	2
129	все что	2	2
130	то время	3	2
131	как будто	7	2
132	до сих	5	2
133	и к	3	2
134	душевной жизни	2	2
135	и когда	4	2
136	начинает с	2	2
137	относится к	3	2
138	все же	4	2
139	по сравнению	2	2
140	сих пор	5	2
141	не остается	2	2
142	как в	9	2
143	бы не	2	2
144	того чтобы	14	2
145	и у	2	2
146	и как	7	2
147	и для	4	2
148	конце концов	3	2
149	он в	3	2
150	в каком	3	2
151	и загадки	2	2
152	отношении к	3	2
153	с того	2	2
