N	2gram	Nazirov_Tr_1	Narrotol
1	не только	8	31
2	но и	4	27
3	и не	7	23
4	при этом	3	19
5	может быть	7	15
6	в частности	2	14
7	как и	5	13
8	в этом	9	12
9	и в	18	11
10	в данном	2	11
11	своего рода	3	10
12	и его	6	10
13	то что	4	9
14	то есть	3	9
15	то же	5	8
16	в том	2	8
17	данном случае	2	8
18	не может	5	8
19	уже не	2	8
20	в рассказе	2	8
21	у него	6	7
22	том что	4	7
23	но в	6	7
24	к тому	2	6
25	об этом	4	6
26	не в	2	6
27	и он	3	6
28	в самом	2	6
29	не мог	2	6
30	как бы	7	6
31	один из	3	6
32	в себе	4	6
33	в его	3	6
34	в этой	4	6
35	перед нами	2	5
36	так и	5	5
37	тем самым	3	5
38	столь же	2	5
39	и на	7	5
40	потому что	2	5
41	с его	2	4
42	о чем	3	4
43	никогда не	2	4
44	все же	5	4
45	для него	3	4
46	же время	6	4
47	прежде всего	4	4
48	еще не	4	4
49	к нему	3	4
50	в нем	4	4
51	в мире	3	4
52	в первом	2	4
53	как в	3	4
54	в то	5	4
55	о том	2	4
56	одна из	2	4
57	в одном	2	4
58	он сам	7	3
59	но они	2	3
60	что в	4	3
61	это уже	2	3
62	в своем	3	3
63	это не	5	3
64	что он	6	3
65	еще раз	2	3
66	и как	3	3
67	в поле	3	3
68	в целом	4	3
69	он не	2	3
70	еще в	2	3
71	в ходе	2	3
72	но при	2	3
73	в глазах	2	3
74	и то	2	3
75	и с	7	3
76	и ее	2	3
77	как будто	3	3
78	и все	4	3
79	как это	3	3
80	отнюдь не	3	2
81	в конце	3	2
82	о его	2	2
83	в романе	10	2
84	с ее	3	2
85	чем он	2	2
86	до конца	2	2
87	как у	2	2
88	во сне	2	2
89	к жизни	5	2
90	не имеет	2	2
91	в отличие	2	2
92	в году	9	2
93	который в	2	2
94	и даже	4	2
95	времени в	2	2
96	друг друга	2	2
97	отличие от	2	2
98	в таком	2	2
99	ничего не	2	2
100	он и	2	2
101	с ним	3	2
