N	2gram	Berdyaev_O_1	VelikijI
1	во имя	3	32
2	великий инквизитор	8	31
3	и не	13	20
4	и в	19	16
5	свободы и	2	12
6	то что	5	9
7	так как	2	9
8	еще не	3	8
9	в истории	2	8
10	что они	2	7
11	и потому	2	7
12	на земле	4	7
13	а не	11	7
14	свободной любви	3	6
15	человека и	10	6
16	не есть	2	6
17	хотя и	2	5
18	как бы	3	5
19	великом инквизиторе	6	5
20	но и	13	5
21	все это	6	5
22	что есть	2	5
23	того что	3	5
24	о великом	6	4
25	и есть	3	4
26	что все	2	4
27	что он	3	4
28	в нем	10	4
29	как и	6	4
30	сделать людей	3	4
31	все что	3	4
32	так и	2	4
33	что не	4	4
34	потому что	9	4
35	в этом	12	4
36	с богом	2	4
37	и все	10	4
38	в его	7	4
39	любовь к	2	3
40	с его	4	3
41	что в	4	3
42	в этих	3	3
43	инквизитор говорит	2	3
44	в том	5	3
45	не в	11	3
46	этого мира	2	3
47	никогда не	9	3
48	что и	2	3
49	и против	2	3
50	в своей	2	3
51	не было	9	3
52	лишь в	7	3
53	не имеет	2	3
54	хотя бы	3	3
55	и для	2	3
56	должно быть	2	3
57	человеческого благополучия	2	3
58	личности и	2	3
59	все эти	4	3
60	нет ничего	7	3
61	но в	2	3
62	не могут	3	2
63	с тем	2	2
64	это не	3	2
65	прежде всего	9	2
66	жаждал свободной	2	2
67	том что	2	2
68	от него	7	2
69	для него	5	2
70	того чтобы	4	2
71	ивана карамазова	7	2
72	выше всего	2	2
73	вместо того	2	2
74	тогда уже	2	2
75	не только	11	2
76	не могли	2	2
77	поступил как	2	2
78	нем нет	3	2
79	людей счастливыми	2	2
80	ее в	2	2
81	всего в	2	2
82	те которые	2	2
83	жизни все	3	2
84	ничего и	2	2
85	тем что	2	2
86	и никогда	2	2
87	для человека	2	2
88	его не	2	2
89	а в	5	2
90	с ним	3	2
91	и то	2	2
92	они испугались	2	2
93	легенда о	2	2
94	могут быть	3	2
