N	2gram	Bakhtin_fo_2	Myshleni
1	в том	10	33
2	том что	4	27
3	точки зрения	10	26
4	то что	7	20
5	в этом	22	19
6	с точки	8	18
7	того что	3	17
8	и в	46	15
9	не только	11	15
10	что в	5	14
11	таким образом	3	14
12	что он	3	12
13	того чтобы	8	12
14	но и	9	10
15	было бы	2	10
16	для того	8	10
17	в своем	5	9
18	может быть	7	9
19	не является	3	9
20	не может	2	9
21	о том	4	9
22	в сущности	2	9
23	связи с	8	9
24	так и	7	8
25	никогда не	6	8
26	не в	9	8
27	к тому	3	7
28	с одной	2	7
29	и не	9	7
30	на основе	3	7
31	потому что	8	7
32	как бы	10	7
33	по себе	2	7
34	тот же	3	7
35	он не	5	7
36	и т.п	2	7
37	во всяком	2	7
38	в частности	5	6
39	в отношении	2	6
40	как мы	6	6
41	в этой	2	6
42	мы уже	9	6
43	в виду	3	6
44	мы видели	2	6
45	в связи	8	6
46	с другой	2	6
47	в истории	4	6
48	как он	2	6
49	как это	2	6
50	но в	10	6
51	вовсе не	13	6
52	и к	2	6
53	как и	8	6
54	вместе с	9	6
55	там где	2	6
56	это не	2	5
57	уже в	4	5
58	представление о	2	5
59	смысле слова	2	5
60	и др	5	5
61	и их	4	5
62	с помощью	3	5
63	и даже	3	5
64	по существу	5	5
65	все что	2	5
66	то же	8	5
67	прежде всего	14	4
68	из этих	4	4
69	что все	2	4
70	все это	6	4
71	в них	7	4
72	в совершенно	3	4
73	так же	2	4
74	а в	3	4
75	их в	4	4
76	и с	6	4
77	так как	6	4
78	к этому	3	4
79	все же	6	4
80	мы видим	2	4
81	в качестве	3	4
82	как в	4	4
83	и его	12	4
84	значение для	2	4
85	только в	11	4
86	том числе	3	3
87	только для	2	3
88	мы будем	3	3
89	контакт с	2	3
90	во время	10	3
91	человека и	4	3
92	числе и	2	3
93	что они	4	3
94	для него	3	3
95	при этом	6	3
96	точка зрения	3	3
97	из них	8	3
98	и до	2	3
99	и только	2	3
100	этом отношении	2	3
101	все эти	5	3
102	те же	6	3
103	но эта	2	3
104	в самой	2	3
105	лишь в	2	3
106	и по	3	3
107	в которых	3	3
108	в основе	6	3
109	с ним	4	3
110	мы имеем	2	3
111	и все	6	3
112	с этим	5	3
113	лежит в	2	3
114	тем более	3	3
115	уже говорили	4	3
116	но не	5	3
117	утверждает что	2	3
118	того же	3	3
119	в заключение	2	3
120	а не	4	3
121	в данном	2	3
122	и это	2	3
123	и есть	2	2
124	в этих	3	2
125	с этой	4	2
126	как уже	3	2
127	или иной	2	2
128	можно сказать	2	2
129	что на	3	2
130	протяжении всего	2	2
131	и как	3	2
132	своей жизни	2	2
133	и более	2	2
134	как у	3	2
135	и идеи	3	2
136	друг с	4	2
137	в котором	4	2
138	после этого	2	2
139	могут быть	2	2
140	в некоторых	2	2
141	в их	3	2
142	целый ряд	3	2
143	и других	2	2
144	должно быть	5	2
145	к себе	4	2
146	говорить о	2	2
147	что здесь	2	2
148	во все	2	2
149	же самое	3	2
150	также и	4	2
151	мира и	9	2
152	а также	3	2
153	в одном	7	2
154	от этого	2	2
155	у него	9	2
156	отнюдь не	4	2
157	именно в	2	2
158	к вопросу	3	2
159	друг от	2	2
160	от друга	2	2
161	наряду с	2	2
162	том же	4	2
163	в его	8	2
164	нет и	3	2
165	что и	3	2
166	ее в	3	2
167	по ту	2	2
168	принадлежит к	2	2
169	во всех	11	2
170	без всякого	2	2
171	находится в	2	2
172	и самый	2	2
173	и для	9	2
174	в себя	2	2
175	другом месте	2	2
176	у них	2	2
177	тем что	3	2
178	в себе	4	2
179	в другом	3	2
180	на протяжении	3	2
181	ту же	2	2
182	с другом	4	2
