N	2gram	Propp_Russ_2	FransuaR
1	и в	29	49
2	прежде всего	2	19
3	не только	10	17
4	и на	6	17
5	в этом	11	15
6	в них	4	13
7	но и	8	13
8	в году	3	13
9	во время	12	12
10	как и	11	11
11	как бы	18	11
12	в этой	3	10
13	все это	10	9
14	все же	2	7
15	один из	2	7
16	не может	5	7
17	таким образом	6	7
18	то же	4	7
19	все эти	3	7
20	как мы	3	7
21	именно в	4	6
22	то что	5	6
23	здесь в	2	6
24	во всех	3	6
25	и с	10	6
26	но он	3	6
27	в то	2	6
28	так как	13	6
29	никогда не	2	5
30	из этих	2	5
31	но не	5	5
32	при этом	6	5
33	может быть	13	5
34	в своей	2	5
35	в эту	3	5
36	с другой	2	4
37	и смех	3	4
38	том что	22	4
39	одна из	11	4
40	и о	3	4
41	в своих	2	4
42	в этих	3	4
43	в форме	2	4
44	смерти и	2	4
45	не было	2	4
46	а в	9	4
47	тем что	3	4
48	там где	2	4
49	но в	5	4
50	с одной	2	3
51	о чем	4	3
52	в течение	2	3
53	жизни в	2	3
54	в xix	3	3
55	не был	2	3
56	же в	6	3
57	в ее	3	3
58	в г	2	3
59	в том	22	3
60	а затем	4	3
61	во всем	2	3
62	в день	7	3
63	одной стороны	2	3
64	было бы	3	3
65	из них	4	3
66	мы видели	7	3
67	связь с	3	3
68	на земле	5	3
69	что для	3	3
70	и все	4	3
71	и других	3	3
72	к нему	4	3
73	можно было	2	3
74	так в	2	3
75	их в	4	3
76	далеко не	4	3
77	о том	9	3
78	и под	3	3
79	в виду	2	3
80	связи с	2	2
81	что в	22	2
82	для них	2	2
83	могут быть	2	2
84	в качестве	3	2
85	и обрядов	2	2
86	та же	2	2
87	смех на	2	2
88	это в	2	2
89	там же	12	2
90	в целях	2	2
91	в новой	2	2
92	по существу	4	2
93	это и	2	2
94	связаны с	3	2
95	есть в	2	2
96	связанные с	2	2
97	связано с	2	2
98	и после	3	2
99	до конца	3	2
100	мы здесь	2	2
101	еще не	6	2
102	и другие	14	2
103	этого праздника	2	2
104	совершенно не	2	2
105	своей книге	2	2
106	одним из	2	2
107	к ней	2	2
108	в него	2	2
109	в обряде	6	2
110	еще в	2	2
111	к числу	2	2
112	из наиболее	2	2
113	вместе с	6	2
114	ее в	8	2
115	в их	2	2
116	должен был	3	2
117	вряд ли	2	2
118	новый год	3	2
119	того как	2	2
120	на самом	2	2
121	того чтобы	6	2
122	так же	4	2
123	жизнь и	2	2
124	тому как	3	2
125	на новый	3	2
126	подобно тому	3	2
127	под названием	2	2
128	и еще	2	2
129	на эту	2	2
