N	3gram	Bakhtin_fo_1	FransuaR
1	в том числе	4	10
2	том числе и	2	7
3	мы уже говорили	3	7
4	в том что	2	6
5	той или иной	2	5
6	как мы уже	8	5
7	в отличие от	2	4
8	до сих пор	3	4
9	с точки зрения	2	3
10	в этом отношении	3	3
11	и прежде всего	2	3
12	мы уже сказали	2	3
13	и в частности	2	2
14	и в других	4	2
15	дело в том	2	2
16	в нем в	2	2
17	с одной стороны	2	2
18	и др в	2	2
19	вполне понятно что	4	2
20	в xvii веке	2	2
21	как раз и	2	2
22	к себе самому	4	2
23	существенную роль в	2	2
24	но и в	2	2
25	но все же	2	2
