N	2gram	Propp_Isto_6	Narrotol
1	не только	10	32
2	может быть	11	25
3	но и	9	23
4	в качестве	3	21
5	и не	10	20
6	и в	26	19
7	в том	12	18
8	в этом	12	17
9	в частности	3	14
10	том что	10	14
11	не в	3	14
12	а не	2	12
13	своего рода	2	12
14	тогда как	2	12
15	представляет собой	2	12
16	то что	6	11
17	а в	3	11
18	не может	6	10
19	при этом	3	9
20	со стороны	3	9
21	так и	5	9
22	в его	5	9
23	с другой	10	8
24	героя в	2	8
25	в себе	3	8
26	как и	5	7
27	еще не	9	7
28	к тому	2	7
29	а также	4	7
30	все же	8	7
31	как в	6	7
32	по отношению	2	7
33	с одной	7	7
34	одной стороны	7	7
35	с его	4	6
36	что он	9	6
37	отношению к	2	6
38	но не	2	6
39	тем самым	2	6
40	как это	5	6
41	о том	7	6
42	но в	7	6
43	и как	2	5
44	можно сказать	2	5
45	в форме	2	5
46	уже не	7	5
47	и его	7	5
48	в данном	3	5
49	к себе	2	5
50	в этой	2	5
51	далеко не	3	5
52	за собой	5	4
53	перед нами	2	4
54	прежде всего	4	4
55	в нем	8	4
56	у него	7	4
57	что не	2	4
58	то же	5	4
59	но все	2	4
60	было бы	2	4
61	как бы	4	4
62	и тем	4	4
63	данном случае	3	4
64	другой стороны	8	4
65	отличается от	2	4
66	из которых	3	4
67	сказать что	3	4
68	только в	5	4
69	здесь не	2	4
70	и с	6	4
71	же не	2	4
72	а с	2	3
73	же как	3	3
74	что в	12	3
75	могут быть	3	3
76	никогда не	13	3
77	из этих	4	3
78	ни в	2	3
79	что они	2	3
80	одна из	2	3
81	на том	8	3
82	в ней	5	3
83	он не	2	3
84	один из	3	3
85	не есть	2	3
86	не будет	5	3
87	жизни и	2	3
88	когда он	3	3
89	на него	2	3
90	а именно	9	3
91	как мы	4	3
92	сводится к	2	3
93	и он	4	3
94	то или	2	3
95	и на	12	3
96	тем что	5	3
97	в то	5	3
98	как будто	3	3
99	что это	2	3
100	или иное	3	2
101	после смерти	2	2
102	зависит от	4	2
103	независимо от	3	2
104	должна быть	3	2
105	в своем	2	2
106	что у	2	2
107	здесь и	2	2
108	та же	3	2
109	не могло	2	2
110	точно так	2	2
111	не всегда	4	2
112	утверждать что	2	2
113	и сейчас	2	2
114	на первый	3	2
115	что иное	2	2
116	всех его	2	2
117	она не	3	2
118	например в	7	2
119	наряду с	3	2
120	и др	2	2
121	даже в	2	2
122	не имеет	2	2
123	в сказании	3	2
124	и до	2	2
125	смерти и	2	2
126	так же	2	2
127	и только	3	2
128	не было	3	2
129	все эти	8	2
130	человека в	2	2
131	том свете	4	2
132	происходит и	2	2
133	они не	3	2
134	что мы	2	2
135	это не	4	2
136	или в	3	2
137	можно было	2	2
138	каждый год	3	2
139	однако в	2	2
140	одну из	4	2
141	вокруг него	3	2
142	что касается	2	2
143	и ее	3	2
144	приходит к	3	2
145	но как	4	2
146	здесь совершенно	2	2
147	его в	5	2
148	когда мы	2	2
149	мира и	2	2
150	оно может	2	2
151	ничего не	2	2
152	мы имеем	14	2
153	о чем	2	2
