N	3gram	Medvedev_F_3	Myshleni
1	в том что	3	31
2	с точки зрения	14	11
3	в этом смысле	2	8
4	с другой стороны	5	8
5	смысле этого слова	2	7
6	то же самое	3	7
7	в этом отношении	3	7
8	в самом деле	4	6
9	не только не	2	5
10	для того чтобы	4	5
11	и те же	3	3
12	одним и тем	2	3
13	в связи с	4	3
14	во всяком случае	6	3
15	и тем же	2	3
16	одни и те	3	3
17	вместе с тем	3	3
18	в данном случае	4	2
19	в следующей главе	2	2
20	в отличие от	2	2
21	как мы видели	2	2
22	в высшей степени	2	2
23	те же слова	2	2
24	подобно тому как	4	2
25	мы видели что	2	2
