N	2gram	Losev_Prob_5	VrazhdaK
1	в году	5	18
2	не только	18	9
3	в этом	17	8
4	и что	6	8
5	и в	30	8
6	но и	13	7
7	что в	5	7
8	то что	18	7
9	и все	9	7
10	в котором	2	6
11	в нем	6	6
12	все же	9	6
13	и даже	14	6
14	как и	7	6
15	в начале	3	6
16	но в	9	6
17	и с	5	6
18	то же	2	5
19	и не	12	5
20	у него	11	5
21	об этом	4	5
22	между тем	2	5
23	в то	4	5
24	уже в	2	4
25	для нас	10	4
26	как бы	6	4
27	это не	2	4
28	что он	7	4
29	так же	5	4
30	с ним	3	4
31	может быть	7	4
32	при этом	4	4
33	несмотря на	6	4
34	о том	12	4
35	в ней	3	4
36	в виду	3	4
37	я не	2	3
38	связи с	7	3
39	русской литературе	3	3
40	в своем	11	3
41	что у	5	3
42	о себе	2	3
43	в связи	7	3
44	в конце	8	3
45	к этому	2	3
46	на то	2	3
47	в те	2	3
48	и у	5	3
49	он был	2	3
50	в том	12	3
51	раз в	2	3
52	и его	6	3
53	том что	17	3
54	и как	6	3
55	тем что	2	3
56	в его	12	3
57	далеко не	4	3
58	в русской	3	3
59	его в	6	3
60	наряду с	2	3
61	но он	5	3
62	и о	5	3
63	в чем	2	3
64	он не	3	3
65	а с	4	2
66	он сам	3	2
67	в своей	22	2
68	из них	2	2
69	не менее	5	2
70	никогда не	7	2
71	вместе с	7	2
72	отнюдь не	4	2
73	в них	2	2
74	он пишет	2	2
75	как раз	5	2
76	не может	5	2
77	на кавказ	2	2
78	по мнению	2	2
79	а в	6	2
80	таким образом	13	2
81	в период	4	2
82	уже не	6	2
83	не мог	4	2
84	и он	4	2
85	же не	4	2
86	с точки	8	2
87	же в	3	2
88	в этой	10	2
89	и то	5	2
90	точки зрения	10	2
91	в свою	2	2
92	в себе	4	2
93	отношение к	2	2
94	в нашей	2	2
95	еще не	3	2
96	в это	2	2
97	его на	2	2
98	при помощи	6	2
99	а также	3	2
