N	2gram	Bakhtin_KF_1	Narrotol
1	не только	5	31
2	но и	9	27
3	и не	26	23
4	при этом	4	19
5	может быть	45	15
6	в качестве	2	14
7	как и	5	13
8	а не	17	13
9	а в	4	13
10	только в	16	12
11	в этом	14	12
12	и в	24	11
13	в данном	2	11
14	и его	17	10
15	времени и	4	9
16	то что	7	9
17	то же	5	8
18	в том	6	8
19	со стороны	7	8
20	не может	27	8
21	уже не	7	8
22	если бы	8	7
23	том что	4	7
24	но в	5	7
25	и т.д	2	6
26	не в	12	6
27	как бы	9	6
28	один из	2	6
29	жизни и	8	6
30	в себе	21	6
31	в его	40	6
32	в этой	2	6
33	в соответствии	2	5
34	той или	3	5
35	в своей	10	5
36	так и	2	5
37	событие в	5	5
38	тем самым	4	5
39	и на	3	5
40	потому что	2	5
41	точки зрения	12	5
42	слова в	2	4
43	никогда не	5	4
44	к себе	2	4
45	или иной	2	4
46	соответствии с	2	4
47	все же	5	4
48	для него	8	4
49	но не	12	4
50	же время	2	4
51	прежде всего	2	4
52	еще не	4	4
53	к нему	12	4
54	в ней	3	4
55	и тем	3	4
56	в нем	28	4
57	в мире	6	4
58	не по	4	4
59	по себе	2	4
60	как в	2	4
61	того что	3	4
62	того чтобы	2	4
63	в принципе	2	4
64	в то	3	4
65	о том	3	4
66	в одном	4	4
67	в сознании	2	4
68	мира в	6	4
69	не менее	3	3
70	что в	4	3
71	это уже	2	3
72	в своем	16	3
73	это не	10	3
74	в жизни	2	3
75	что он	2	3
76	сводится к	2	3
77	тем не	2	3
78	и как	2	3
79	в целом	10	3
80	самом деле	3	3
81	но как	5	3
82	для того	3	3
83	но для	2	3
84	он не	6	3
85	о нем	4	3
86	его жизни	3	3
87	отношению к	22	3
88	в современной	3	3
89	по отношению	26	3
90	быть не	2	3
91	не было	8	3
92	именно в	5	3
93	лишь в	8	3
94	едва ли	2	3
95	к чему	3	3
96	мы не	3	3
97	и то	2	3
98	и ее	2	3
99	и все	7	3
100	могло бы	4	3
101	мы имеем	5	3
102	между тем	4	3
103	а для	2	3
104	в едином	9	2
105	отнюдь не	6	2
106	своей истории	2	2
107	его и	2	2
108	в свою	3	2
109	ему в	2	2
110	в событии	5	2
111	а по	2	2
112	было и	2	2
113	с ее	2	2
114	и того	2	2
115	по своему	3	2
116	всех его	2	2
117	до конца	3	2
118	или иным	2	2
119	и значимость	2	2
120	к ним	4	2
121	в событие	2	2
122	не имеет	5	2
123	оно не	2	2
124	значимость и	2	2
125	хотя бы	4	2
126	себя в	8	2
127	не будет	2	2
128	быть и	3	2
129	дело не	2	2
130	содержание не	2	2
131	жизни в	5	2
132	входит в	3	2
133	и только	6	2
134	если не	2	2
135	сознания в	2	2
136	что не	3	2
137	жизни как	5	2
138	и для	9	2
139	ничего не	3	2
140	с ними	3	2
141	дело с	2	2
142	не о	2	2
143	он и	2	2
144	события в	3	2
145	жизни но	3	2
146	дело в	2	2
147	здесь не	3	2
148	в чем	4	2
149	с ним	5	2
150	в области	2	2
151	та же	2	2
152	это было	2	2
