N	2gram	Losev_Vesc_1	RusskieA
1	и в	21	29
2	т е	55	24
3	что в	9	22
4	том что	8	22
5	в том	8	22
6	как бы	12	18
7	может быть	16	13
8	так как	7	13
9	как и	8	11
10	одна из	5	11
11	в этом	4	11
12	все это	5	10
13	е в	7	10
14	и с	8	10
15	не только	36	10
16	о том	6	9
17	а в	4	9
18	но и	18	8
19	с в	2	8
20	его в	2	8
21	данном случае	2	7
22	или в	2	7
23	с тем	5	6
24	мы не	6	6
25	еще не	8	6
26	для того	2	6
27	для нас	2	6
28	таким образом	8	6
29	того чтобы	3	6
30	в данном	5	6
31	мы имеем	7	6
32	потому что	16	5
33	это не	5	5
34	то что	27	5
35	и что	15	5
36	но не	5	5
37	с ней	2	5
38	для этого	4	5
39	и т	19	5
40	не может	17	5
41	т д	19	5
42	но в	5	5
43	и все	5	4
44	тогда когда	5	4
45	а затем	2	4
46	уже не	9	4
47	по существу	2	4
48	так что	5	4
49	не в	5	4
50	из них	4	4
51	то и	4	4
52	то же	6	4
53	у нас	7	4
54	а не	19	4
55	их в	3	4
56	как это	2	4
57	на этом	2	3
58	тем что	2	3
59	и от	3	3
60	в ее	7	3
61	она не	4	3
62	или ее	2	3
63	того что	8	3
64	было бы	14	3
65	руки и	2	3
66	и о	3	3
67	что ее	2	3
68	что она	15	3
69	но если	8	3
70	в и	2	3
71	в котором	3	3
72	с другими	8	3
73	во всех	2	3
74	только тогда	3	3
75	в свете	7	3
76	все эти	3	3
77	как мы	4	3
78	тому как	4	3
79	но он	2	3
80	подобно тому	4	3
81	в этой	3	3
82	что это	13	3
83	не менее	3	2
84	с этой	4	2
85	говорить что	3	2
86	и всем	4	2
87	об этом	3	2
88	никогда не	2	2
89	с другой	6	2
90	прежде всего	9	2
91	как можно	3	2
92	не что	7	2
93	что и	3	2
94	к ней	2	2
95	это и	6	2
96	кроме того	4	2
97	и как	8	2
98	одной стороны	3	2
99	и пр	6	2
100	совершенно не	5	2
101	что на	2	2
102	тем не	3	2
103	в виду	2	2
104	как оно	3	2
105	один из	3	2
106	должен быть	2	2
107	но она	3	2
108	не с	7	2
109	все же	4	2
110	в своей	5	2
111	дело не	2	2
112	а и	9	2
113	а с	3	2
114	с одной	3	2
115	ее к	2	2
116	и для	9	2
117	должно быть	6	2
118	можно было	2	2
119	быть только	3	2
120	и то	10	2
121	в руки	2	2
122	с этим	3	2
123	моментов в	2	2
124	и ее	18	2
125	и еще	2	2
126	что иное	7	2
127	в то	3	2
128	так чтобы	2	2
129	когда мы	6	2
130	эти теории	2	2
131	иное как	7	2
