N	2gram	Trubetskoy_1	Analitik
1	тогда как	6	19
2	в этом	12	18
3	в частности	2	16
4	и в	23	16
5	не только	7	16
6	так и	10	15
7	как и	9	14
8	в том	30	12
9	но и	9	12
10	и не	8	12
11	том что	19	12
12	иначе говоря	4	11
13	как бы	10	10
14	при этом	9	10
15	лишь в	5	9
16	в этой	6	9
17	то есть	2	9
18	в данном	3	8
19	отнюдь не	2	8
20	в целом	5	8
21	к тому	8	7
22	в себе	5	7
23	то что	18	7
24	о том	7	7
25	с другой	6	6
26	в самом	8	6
27	в мире	6	6
28	и на	6	6
29	говорить о	2	6
30	может быть	16	6
31	но в	4	6
32	в сторону	2	5
33	и к	5	5
34	данном случае	3	5
35	с одной	3	5
36	не менее	7	4
37	только не	2	4
38	в своем	10	4
39	столь же	5	4
40	в конце	4	4
41	у него	5	4
42	этом случае	4	4
43	тому же	6	4
44	не в	8	4
45	но не	2	4
46	того же	9	4
47	тем самым	3	4
48	для него	2	4
49	одной стороны	2	4
50	в сущности	2	4
51	в один	2	4
52	имеет место	2	4
53	и особенно	2	4
54	отношению к	9	4
55	во всех	10	4
56	все это	11	4
57	по отношению	9	4
58	не может	17	4
59	на этом	2	4
60	то же	4	4
61	не так	4	4
62	хотя и	4	4
63	между двумя	5	4
64	точки зрения	13	4
65	только в	6	4
66	в сознании	6	4
67	в себя	2	4
68	борьбы с	2	3
69	однако при	2	3
70	никогда не	4	3
71	в нашем	3	3
72	что касается	6	3
73	прежде всего	3	3
74	этого слова	2	3
75	тем не	4	3
76	так что	5	3
77	есть в	2	3
78	было бы	3	3
79	и сам	2	3
80	несмотря на	6	3
81	и если	6	3
82	на себе	2	3
83	что и	7	3
84	из них	5	3
85	в их	4	3
86	если бы	8	3
87	не знает	2	3
88	именно в	5	3
89	а в	3	3
90	как мы	2	3
91	с ними	2	3
92	и то	4	3
93	в результате	9	3
94	я в	2	3
95	как будто	5	3
96	сводится к	2	3
97	и т.д	4	3
98	бы в	3	3
99	в эту	2	3
100	и все	7	3
101	в общем	6	2
102	того что	6	2
103	уже и	3	2
104	при таком	2	2
105	в состоянии	4	2
106	что все	5	2
107	к этому	5	2
108	вовсе не	2	2
109	вследствие этого	2	2
110	в одну	4	2
111	на то	9	2
112	а затем	2	2
113	отличие от	3	2
114	по существу	6	2
115	все что	9	2
116	же время	2	2
117	что в	8	2
118	что с	5	2
119	она не	2	2
120	еще не	5	2
121	в котором	2	2
122	даже в	3	2
123	не есть	2	2
124	с ее	2	2
125	на этой	2	2
126	и их	5	2
127	вместе с	6	2
128	на него	2	2
129	другой стороны	5	2
130	таким образом	31	2
131	те же	2	2
132	и для	6	2
133	с точки	8	2
134	так же	8	2
135	в таком	4	2
136	и до	3	2
137	между тем	12	2
138	одно из	3	2
139	он не	3	2
140	в то	6	2
141	в его	5	2
142	его в	5	2
143	в этих	3	2
144	с ним	6	2
145	же не	3	2
