N	2gram	Vygotskiy__1	Analitik
1	не только	13	22
2	и в	31	18
3	как и	16	14
4	так и	3	14
5	в этом	12	14
6	но и	2	13
7	и его	7	13
8	в частности	3	12
9	том что	16	12
10	в качестве	2	12
11	и не	16	12
12	при этом	19	11
13	а в	6	10
14	как бы	5	10
15	то есть	26	10
16	может быть	22	9
17	со стороны	4	9
18	что в	23	9
19	а не	13	9
20	в том	30	9
21	и даже	6	8
22	с другой	5	7
23	но не	3	7
24	в его	6	7
25	как раз	2	7
26	к тому	4	6
27	не в	11	6
28	в этой	3	6
29	он не	3	6
30	о том	7	6
31	никогда не	8	5
32	не является	5	5
33	в конце	3	5
34	прежде всего	4	5
35	того же	2	5
36	в самом	11	5
37	что и	13	5
38	другой стороны	5	5
39	в сущности	10	5
40	уже не	2	5
41	той же	3	5
42	в слове	3	5
43	в результате	4	5
44	между тем	4	5
45	мы имеем	4	5
46	представляет собой	2	5
47	не менее	2	4
48	о чем	2	4
49	отнюдь не	6	4
50	в своем	3	4
51	столь же	4	4
52	произведение искусства	8	4
53	в одном	2	4
54	состоит в	3	4
55	по себе	9	4
56	что он	7	4
57	и к	3	4
58	и как	2	4
59	не есть	3	4
60	все же	5	4
61	приводит к	2	4
62	таким образом	20	4
63	тем самым	2	4
64	далеко не	2	4
65	что по	3	4
66	уже в	3	3
67	в каждом	3	3
68	и без	2	3
69	из этих	6	3
70	у пушкина	3	3
71	к этому	4	3
72	не всегда	2	3
73	в ее	5	3
74	тому же	3	3
75	что они	2	3
76	было бы	6	3
77	указывает на	4	3
78	только не	3	3
79	по поводу	2	3
80	к жизни	2	3
81	не будет	3	3
82	как говорит	2	3
83	в целом	5	3
84	как в	9	3
85	все это	8	3
86	который в	3	3
87	дело с	3	3
88	то же	5	3
89	не было	3	3
90	этом отношении	2	3
91	его не	2	3
92	роль в	3	3
93	мы не	12	3
94	ничего не	2	3
95	с этим	3	3
96	точки зрения	15	3
97	подобно тому	5	3
98	одного и	2	3
99	но как	2	3
100	во всем	3	3
101	в то	5	3
102	его в	2	3
103	в произведении	3	3
104	как это	4	3
105	сама по	2	2
106	произведении искусства	3	2
107	бы и	2	2
108	могут быть	11	2
109	для всех	4	2
110	конечном счете	3	2
111	в них	2	2
112	и от	2	2
113	в жизни	2	2
114	и ту	2	2
115	совершенно очевидно	3	2
116	в нем	2	2
117	есть не	2	2
118	на два	2	2
119	несмотря на	5	2
120	тем не	2	2
121	говорит о	2	2
122	одна из	4	2
123	без остатка	2	2
124	с тем	3	2
125	очевидно что	6	2
126	одной стороны	6	2
127	это и	3	2
128	со всеми	4	2
129	совершенно не	5	2
130	например в	3	2
131	иначе говоря	5	2
132	и той	3	2
133	в стихе	2	2
134	хотя и	3	2
135	в конечном	3	2
136	и потому	2	2
137	всяком случае	6	2
138	даже в	2	2
139	к числу	2	2
140	гораздо более	2	2
141	один из	4	2
142	чистом виде	3	2
143	то что	32	2
144	когда он	2	2
145	вместе с	8	2
146	что она	6	2
147	не может	17	2
148	в отличие	3	2
149	как к	2	2
150	на примере	3	2
151	с одной	5	2
152	те же	4	2
153	одной и	4	2
154	в себя	2	2
155	и вот	3	2
156	тем или	2	2
157	самом деле	9	2
158	с точки	2	2
159	и по	3	2
160	и для	5	2
161	тому как	7	2
162	сказать что	7	2
163	во всяком	8	2
164	мы можем	4	2
165	нуждается в	3	2
166	в себе	4	2
167	и здесь	2	2
168	в искусстве	4	2
169	что мы	8	2
170	только в	14	2
171	этого слова	4	2
172	и все	5	2
173	там где	4	2
174	когда мы	3	2
175	отличие от	4	2
176	или иным	2	2
177	но в	3	2
