N	3gram	Vygotskiy__6	Problema
1	то же самое	6	9
2	на то что	4	8
3	для того чтобы	8	8
4	в этом смысле	2	6
5	то что мы	2	6
6	в том что	19	5
7	в связи с	2	4
8	только то что	2	4
9	то что он	2	3
10	с точки зрения	10	3
11	до сих пор	3	3
12	можно сказать что	6	3
13	с другой стороны	2	3
14	не только не	2	3
15	и тем самым	5	3
16	и того же	4	2
17	именно в этом	2	2
18	можно было бы	5	2
19	так же как	6	2
20	мы говорим что	2	2
21	когда мы говорим	2	2
22	одного и того	4	2
23	в этом случае	2	2
24	с тем что	2	2
25	не может быть	2	2
26	и то что	2	2
27	в этой области	2	2
