N	2gram	Savitsky_E_1	StatiiOP
1	и в	37	44
2	в том	11	36
3	что в	21	30
4	том что	6	29
5	в этом	12	21
6	вовсе не	6	19
7	то что	6	18
8	не только	18	18
9	было бы	8	17
10	а в	2	17
11	о том	3	17
12	и не	14	16
13	а не	2	16
14	т е	9	15
15	может быть	6	15
16	в данном	3	14
17	в области	11	14
18	как в	3	13
19	можно было	3	13
20	не в	5	12
21	в этой	2	11
22	того чтобы	6	11
23	точки зрения	23	11
24	для того	6	10
25	но и	14	10
26	но в	14	10
27	только в	9	10
28	в отношении	32	9
29	с другой	7	9
30	но также	2	9
31	если бы	2	9
32	в то	16	9
33	как и	7	9
34	того что	7	9
35	во второй	3	9
36	также и	7	9
37	так и	10	9
38	в его	2	9
39	во всех	6	8
40	из них	3	8
41	не может	9	8
42	с точки	17	8
43	прежде всего	9	7
44	в самом	4	7
45	для нас	4	7
46	другой стороны	2	7
47	таким образом	2	7
48	этом отношении	3	7
49	сказать что	4	7
50	потому что	3	6
51	что и	3	6
52	в своей	8	6
53	данном случае	2	6
54	со стороны	5	6
55	что же	2	6
56	именно в	4	6
57	в той	5	6
58	во всяком	3	6
59	дело в	3	6
60	хотя бы	15	6
61	всяком случае	3	6
62	никогда не	3	5
63	такой же	2	5
64	так же	9	5
65	в котором	2	5
66	жизни и	2	5
67	то же	15	5
68	и даже	6	5
69	и по	5	5
70	в которых	3	5
71	и то	2	5
72	тем что	3	5
73	могут быть	2	5
74	так как	7	5
75	там где	3	5
76	что это	2	4
77	в частности	5	4
78	можно ли	3	4
79	столь же	5	4
80	представление о	2	4
81	вопрос о	4	4
82	или иного	4	4
83	бы и	3	4
84	в ее	8	4
85	же время	14	4
86	тем более	4	4
87	и что	2	4
88	в качестве	14	4
89	того или	4	4
90	но если	5	4
91	как бы	6	4
92	на то	6	4
93	в россии	5	4
94	еще более	2	4
95	и сейчас	2	4
96	заключается в	2	4
97	во втором	2	4
98	не имеет	4	4
99	этот вопрос	2	4
100	как будто	2	4
101	как это	4	4
102	в какой	2	3
103	и с	2	3
104	с этой	6	3
105	не является	3	3
106	в применении	3	3
107	должна быть	2	3
108	то в	4	3
109	же как	5	3
110	чем в	4	3
111	но не	5	3
112	того же	3	3
113	кажется что	2	3
114	в деле	3	3
115	и для	3	3
116	в ней	4	3
117	даже в	4	3
118	и тем	3	3
119	в истории	2	3
120	говорит о	3	3
121	а именно	2	3
122	и только	3	3
123	в виде	5	3
124	с одной	8	3
125	но с	2	3
126	применении к	3	3
127	на этот	2	3
128	в таком	3	3
129	культуры в	4	3
130	в результате	3	3
131	в каком	4	3
132	ведь и	2	3
133	во многих	4	3
134	между тем	8	3
135	с этим	2	3
136	что все	2	2
137	но на	3	2
138	и можно	2	2
139	и творчества	2	2
140	в этих	2	2
141	в случае	2	2
142	в своем	14	2
143	вообще не	3	2
144	и во	2	2
145	что на	2	2
146	идет о	3	2
147	и более	2	2
148	есть в	2	2
149	она не	2	2
150	одной стороны	8	2
151	но именно	2	2
152	в данной	3	2
153	несмотря на	4	2
154	в сторону	2	2
155	между прочим	7	2
156	следовало бы	2	2
157	и потому	5	2
158	а также	7	2
159	если в	2	2
160	также в	2	2
161	целый ряд	2	2
162	начиная с	2	2
163	из того	2	2
164	тем самым	5	2
165	более чем	2	2
166	в других	2	2
167	мы не	4	2
168	в своих	2	2
169	думать что	8	2
170	от этого	5	2
171	ни на	3	2
172	он не	2	2
173	в себе	9	2
174	по своей	2	2
175	стороны в	2	2
176	то не	2	2
177	и все	2	2
178	при помощи	2	2
179	к нему	2	2
180	отметить что	3	2
181	то есть	6	2
