N	2gram	Losev_Prob_3	StatiiOP
1	и в	44	29
2	том что	12	27
3	в том	21	27
4	в этом	17	21
5	но и	10	19
6	что в	8	19
7	не только	14	19
8	о том	6	17
9	что он	9	13
10	в его	9	13
11	у пушкина	6	12
12	между прочим	2	12
13	то что	23	11
14	все это	5	11
15	в которой	2	11
16	к тому	3	10
17	таким образом	9	10
18	в своем	5	9
19	и т	13	9
20	так и	10	9
21	и не	35	9
22	пушкина и	3	9
23	как на	2	9
24	потому что	25	9
25	он не	8	9
26	по поводу	2	8
27	как раз	8	8
28	но в	12	8
29	но все	3	7
30	с тем	5	7
31	в самом	3	7
32	в ней	5	7
33	в виду	10	7
34	в котором	2	7
35	в своей	5	7
36	вместе с	2	7
37	тому что	4	7
38	не столько	2	7
39	об этом	3	6
40	вовсе не	37	6
41	до сих	2	6
42	все же	6	6
43	т д	13	6
44	и что	7	6
45	и его	5	6
46	о чем	2	5
47	прежде всего	3	5
48	в той	3	5
49	в качестве	3	5
50	было бы	8	5
51	не знали	2	5
52	как бы	9	5
53	сих пор	2	5
54	а не	18	5
55	того что	8	5
56	точки зрения	5	5
57	а как	2	4
58	именно в	2	4
59	в частности	2	4
60	что у	3	4
61	с другой	7	4
62	но с	2	4
63	не в	13	4
64	для него	3	4
65	кроме того	3	4
66	и к	6	4
67	и о	5	4
68	хотя и	5	4
69	в нем	9	4
70	дело в	4	4
71	ничего не	3	4
72	при помощи	8	4
73	в другом	2	4
74	связи с	8	4
75	и с	9	4
76	но также	2	4
77	в известном	2	3
78	не менее	10	3
79	не был	2	3
80	же как	3	3
81	что это	3	3
82	в этих	2	3
83	не является	11	3
84	с этим	2	3
85	с нею	2	3
86	по себе	25	3
87	ни в	8	3
88	у нас	10	3
89	так что	12	3
90	но это	8	3
91	в начале	2	3
92	но не	3	3
93	и именно	2	3
94	никогда не	6	3
95	и даже	14	3
96	всяком случае	6	3
97	из них	2	3
98	другой стороны	5	3
99	самом деле	3	3
100	как в	5	3
101	в их	2	3
102	а с	2	3
103	не было	5	3
104	еще и	7	3
105	тем что	4	3
106	на самом	7	3
107	и по	2	3
108	хотя бы	3	3
109	другое дело	2	3
110	так же	5	3
111	его не	2	3
112	во всяком	9	3
113	и здесь	5	3
114	не то	2	3
115	столько же	2	3
116	в отношении	2	2
117	ни было	3	2
118	и более	2	2
119	и другие	3	2
120	если бы	3	2
121	с этой	3	2
122	если не	3	2
123	в конце	5	2
124	в тех	3	2
125	что и	9	2
126	находим в	3	2
127	о которых	3	2
128	тем не	10	2
129	очень мало	2	2
130	его как	3	2
131	в ее	4	2
132	только потому	2	2
133	нас не	5	2
134	по существу	2	2
135	как и	10	2
136	то ни	6	2
137	и как	3	2
138	только о	3	2
139	в этой	3	2
140	что они	5	2
141	в то	9	2
142	по своему	2	2
143	чем он	2	2
144	случае не	3	2
145	и сам	5	2
146	такого рода	6	2
147	может быть	28	2
148	только к	2	2
149	во внимание	2	2
150	никак не	9	2
151	тем же	2	2
152	и потому	7	2
153	искусства и	2	2
154	а также	4	2
155	на то	3	2
156	нет никакого	4	2
157	сами по	6	2
158	только в	19	2
159	с той	5	2
160	бы то	4	2
161	также и	16	2
162	ни с	4	2
163	в процессе	2	2
164	дело не	2	2
165	только что	2	2
166	совершенно не	4	2
167	не может	7	2
168	то же	13	2
169	все эти	7	2
170	при этом	4	2
171	в отличие	2	2
172	что такое	3	2
173	на этот	4	2
174	не имеет	9	2
175	с точки	2	2
176	а к	2	2
177	в данном	9	2
178	в результате	2	2
179	сказать что	16	2
180	эти слова	2	2
181	в каком	4	2
182	в себе	8	2
183	этот вопрос	3	2
184	и вообще	8	2
185	от его	2	2
186	сравнении с	2	2
187	его в	3	2
188	и это	9	2
189	и всегда	2	2
190	том смысле	3	2
191	так как	9	2
192	только с	4	2
193	как это	2	2
194	того же	2	2
195	отличие от	3	2
196	это было	2	2
