N	2gram	Propp_Russ_1	Komedia
1	и в	36	26
2	в г	4	17
3	и не	6	14
4	к тому	4	12
5	так и	7	12
6	в том	17	11
7	может быть	8	11
8	но и	16	10
9	в этом	12	10
10	что в	19	9
11	том что	19	9
12	вместе с	10	9
13	и на	10	7
14	из них	8	7
15	не только	22	7
16	что и	7	7
17	на себя	2	7
18	в своем	3	6
19	во время	14	6
20	то что	6	6
21	еще не	4	6
22	в доме	2	6
23	в нем	2	6
24	потому что	10	6
25	и здесь	2	6
26	о том	8	6
27	таким образом	6	6
28	с тем	8	5
29	независимо от	2	5
30	к этому	4	5
31	в качестве	3	5
32	один из	8	5
33	с этим	2	5
34	так что	2	5
35	и с	2	5
36	не менее	3	4
37	в частности	2	4
38	у него	2	4
39	в этих	3	4
40	тому что	4	4
41	в них	6	4
42	что у	2	4
43	из этих	4	4
44	как мы	10	4
45	как и	10	4
46	в целом	2	4
47	как будто	5	4
48	хотя и	2	4
49	в его	2	4
50	еще в	4	4
51	ii в	2	4
52	все же	5	4
53	судя по	2	4
54	в середине	3	4
55	и для	2	4
56	в в	2	4
57	в древней	2	4
58	точки зрения	3	4
59	только в	4	4
60	что это	3	4
61	так как	15	4
62	на этот	3	4
63	как это	8	4
64	между тем	7	4
65	о чем	3	3
66	в каждом	2	3
67	в образе	2	3
68	так называемой	3	3
69	в поле	3	3
70	в тех	4	3
71	что на	4	3
72	но все	3	3
73	связи с	4	3
74	но не	2	3
75	во всех	4	3
76	для нас	6	3
77	например в	2	3
78	интерес к	2	3
79	как правило	3	3
80	в ней	2	3
81	не имеет	6	3
82	и их	4	3
83	в их	4	3
84	все это	6	3
85	в связи	4	3
86	того как	5	3
87	то же	3	3
88	не было	2	3
89	как в	5	3
90	а в	9	3
91	ко времени	3	3
92	или в	2	3
93	тем что	4	3
94	не может	4	3
95	как он	2	3
96	это время	2	3
97	но в	2	3
98	и поэтому	2	3
99	мы можем	2	3
100	если в	3	2
101	и другие	13	2
102	отнюдь не	2	2
103	в нашем	2	2
104	в какой	2	2
105	это не	10	2
106	в одном	3	2
107	представление о	3	2
108	с собой	4	2
109	что именно	2	2
110	и к	3	2
111	об этом	9	2
112	он был	2	2
113	в силу	2	2
114	должна была	2	2
115	одна из	4	2
116	чем в	2	2
117	на этом	3	2
118	как известно	2	2
119	после того	2	2
120	что по	4	2
121	в это	3	2
122	или на	3	2
123	как не	2	2
124	в уже	3	2
125	как бы	5	2
126	и т	10	2
127	после этого	4	2
128	с г	2	2
129	что она	2	2
130	также в	3	2
131	так в	4	2
132	в течение	5	2
133	и что	4	2
134	и у	5	2
135	этого времени	2	2
136	в других	11	2
137	мы не	6	2
138	с ними	5	2
139	тут же	2	2
140	одно из	5	2
141	на что	2	2
142	в один	2	2
143	мы имеем	4	2
144	по содержанию	3	2
145	же не	2	2
