N	2gram	Bakhtin_Fr_2	Problema
1	и в	49	30
2	в своей	5	22
3	то есть	32	21
4	то что	6	18
5	не только	17	18
6	том что	4	17
7	в этом	15	17
8	и даже	2	14
9	но и	13	13
10	таким образом	7	13
11	в том	3	12
12	в его	18	12
13	и не	15	12
14	также и	3	12
15	о том	3	12
16	в своем	5	11
17	у него	2	11
18	точки зрения	6	10
19	в этой	10	10
20	на земле	3	9
21	все же	7	9
22	сказать что	6	9
23	но в	4	9
24	и вообще	3	9
25	только в	13	9
26	и все	3	9
27	в конце	2	8
28	вовсе не	10	8
29	хотя и	2	8
30	с точки	5	8
31	никогда не	5	7
32	что он	3	7
33	как и	11	7
34	в дальнейшем	2	7
35	связи с	2	7
36	но не	5	7
37	может быть	5	7
38	вместе с	2	7
39	так и	6	7
40	до нас	8	7
41	в связи	2	7
42	мы находим	4	7
43	здесь не	2	7
44	с другой	4	6
45	прежде всего	19	6
46	можно сказать	2	6
47	несмотря на	3	6
48	как бы	11	6
49	в нем	9	6
50	другой стороны	3	6
51	а в	4	6
52	и его	17	6
53	и на	17	6
54	можно найти	2	6
55	так как	6	6
56	что в	2	5
57	так же	2	5
58	в самом	3	5
59	и о	4	5
60	еще в	2	5
61	не может	7	5
62	в году	13	5
63	но он	6	5
64	того как	2	5
65	и с	6	5
66	мы можем	2	5
67	как именно	2	4
68	но даже	2	4
69	жизни в	3	4
70	нового времени	4	4
71	человека и	3	4
72	ни в	3	4
73	в смысле	2	4
74	но все	4	4
75	при этом	5	4
76	было бы	3	4
77	в качестве	2	4
78	и к	4	4
79	даже и	2	4
80	под названием	2	4
81	в себе	4	4
82	в то	6	4
83	далеко не	3	4
84	учение о	2	3
85	в противоположность	2	3
86	он видит	2	3
87	в самой	2	3
88	для них	2	3
89	именно в	6	3
90	и другие	2	3
91	в отношении	2	3
92	в духе	4	3
93	же в	3	3
94	в ее	3	3
95	в начале	5	3
96	что они	2	3
97	тот же	5	3
98	еще не	2	3
99	одной стороны	3	3
100	в новое	2	3
101	с одной	3	3
102	на первом	3	3
103	в эпоху	13	3
104	к нему	3	3
105	жизнь и	2	3
106	и после	2	3
107	в ней	2	3
108	что касается	2	3
109	в другом	2	3
110	первом плане	3	3
111	с ним	4	3
112	в одном	3	3
113	видит в	3	3
114	в виду	3	3
115	и более	4	2
116	по словам	2	2
117	и без	2	2
118	в них	13	2
119	уже в	5	2
120	один из	7	2
121	здесь в	6	2
122	на то	2	2
123	то же	7	2
124	как мы	7	2
125	он был	2	2
126	без всякого	2	2
127	да и	3	2
128	раз в	3	2
129	по существу	2	2
130	до сих	4	2
131	в большей	3	2
132	со всеми	2	2
133	по поводу	2	2
134	жизни и	7	2
135	в целях	2	2
136	на его	2	2
137	такого рода	2	2
138	всяком случае	2	2
139	из них	3	2
140	и за	2	2
141	что люди	2	2
142	и до	4	2
143	ее в	2	2
144	все что	2	2
145	он пишет	3	2
146	отношение к	8	2
147	все эти	7	2
148	именно на	2	2
149	в значительной	3	2
150	того чтобы	2	2
151	разума и	2	2
152	можно было	3	2
153	власти и	2	2
154	во всяком	2	2
155	что только	2	2
156	тем что	4	2
157	есть в	2	2
158	страха и	4	2
159	в области	4	2
160	ничего не	2	2
161	сих пор	4	2
