N	2gram	Tiupa_Narr_1	Problema
1	и в	19	30
2	то есть	19	21
3	то что	11	18
4	не только	32	18
5	том что	14	17
6	в этом	17	17
7	и даже	3	14
8	но и	23	13
9	в том	18	12
10	в его	9	12
11	и не	20	12
12	а именно	3	12
13	о том	6	12
14	в своем	2	11
15	у него	4	11
16	точки зрения	10	10
17	в этой	5	10
18	все же	7	9
19	который в	2	9
20	сказать что	4	9
21	но в	6	9
22	только в	4	9
23	и все	2	9
24	хотя и	3	8
25	с точки	2	8
26	никогда не	3	7
27	что он	6	7
28	как и	7	7
29	связи с	4	7
30	но не	5	7
31	может быть	25	7
32	так и	9	7
33	говорит о	2	7
34	в связи	2	7
35	не в	14	7
36	здесь не	4	7
37	в результате	2	7
38	с другой	8	6
39	прежде всего	4	6
40	можно сказать	5	6
41	уже не	5	6
42	и как	5	6
43	несмотря на	2	6
44	и для	2	6
45	как бы	4	6
46	в нем	4	6
47	другой стороны	4	6
48	а в	11	6
49	и его	5	6
50	и на	3	6
51	его в	2	6
52	не менее	3	5
53	что в	3	5
54	что у	2	5
55	будто бы	3	5
56	тем не	3	5
57	в силу	4	5
58	так же	2	5
59	не может	10	5
60	а не	12	5
61	как раз	2	5
62	и с	4	5
63	если не	4	4
64	в частности	14	4
65	отнюдь не	5	4
66	жизни в	3	4
67	нового времени	2	4
68	ни в	3	4
69	но все	4	4
70	при этом	9	4
71	было бы	4	4
72	в качестве	21	4
73	некоторого рода	2	4
74	а с	3	4
75	не мог	4	4
76	и он	3	4
77	или в	2	4
78	в себе	8	4
79	в то	3	4
80	далеко не	5	4
81	же не	4	4
82	в противоположность	2	3
83	он сам	2	3
84	именно в	6	3
85	однако в	2	3
86	точно так	2	3
87	не всегда	2	3
88	не что	2	3
89	же в	4	3
90	в ее	3	3
91	что иное	2	3
92	что они	3	3
93	как будто	3	3
94	еще не	7	3
95	одной стороны	7	3
96	в шмида	5	3
97	и самого	3	3
98	он не	3	3
99	а также	7	3
100	и тем	4	3
101	иное как	2	3
102	бы не	2	3
103	с одной	7	3
104	к нему	5	3
105	и после	2	3
106	в ней	3	3
107	что касается	2	3
108	мира в	5	3
109	по мысли	3	2
110	нет у	2	2
111	том числе	6	2
112	в какой	2	2
113	хотя бы	4	2
114	как в	7	2
115	это не	2	2
116	во втором	4	2
117	уже в	3	2
118	не все	5	2
119	один из	3	2
120	по себе	5	2
121	что именно	2	2
122	к тому	7	2
123	то же	4	2
124	как мы	3	2
125	да и	4	2
126	по существу	2	2
127	не будет	3	2
128	в свою	3	2
129	жизни и	3	2
130	в данном	5	2
131	что не	4	2
132	мы имеем	2	2
133	такого рода	7	2
134	вслед за	4	2
135	в роли	2	2
136	отношению к	6	2
137	бы то	3	2
138	из них	3	2
139	когда он	3	2
140	на него	3	2
141	наряду с	2	2
142	и до	2	2
143	данном случае	4	2
144	отношение к	2	2
145	при всем	2	2
146	по отношению	7	2
147	и только	2	2
148	то ни	3	2
149	все эти	2	2
150	они не	2	2
151	самом деле	2	2
152	в значительной	2	2
153	в таком	2	2
154	можно было	2	2
155	между тем	3	2
156	тем что	3	2
157	и сейчас	2	2
158	всей своей	2	2
159	по своей	3	2
160	есть в	2	2
161	мира и	2	2
162	в области	2	2
163	ничего не	2	2
164	не то	2	2
165	таком случае	2	2
