N	2gram	Tiupa_Lite_2	FransuaR
1	и в	19	56
2	то есть	5	24
3	в его	4	18
4	в этом	9	14
5	в том	10	13
6	так и	7	13
7	и его	3	12
8	в то	9	12
9	до конца	2	11
10	как бы	2	11
11	и т.п	10	11
12	в них	2	11
13	то же	12	11
14	же время	9	10
15	еще не	2	10
16	и до	2	10
17	но и	10	9
18	и не	11	9
19	том что	7	8
20	в сущности	3	8
21	не только	8	8
22	и др	3	8
23	в нем	3	8
24	во всех	3	8
25	и даже	8	8
26	и с	3	8
27	в частности	4	7
28	у него	2	7
29	и на	6	7
30	прежде всего	4	6
31	вовсе не	2	6
32	в ее	2	6
33	в этой	3	6
34	той же	2	6
35	потому что	2	6
36	точки зрения	4	6
37	но в	2	6
38	но не	5	5
39	никогда не	3	5
40	с ее	2	5
41	как и	10	5
42	одним из	3	5
43	он не	5	5
44	один из	4	5
45	своего рода	13	5
46	что в	4	5
47	не было	2	5
48	в результате	2	5
49	такой же	3	5
50	в области	4	5
51	в себе	6	4
52	в качестве	5	4
53	и к	2	4
54	наконец в	2	4
55	в ней	4	4
56	даже в	4	4
57	с одной	7	4
58	при этом	6	4
59	и других	4	4
60	в основе	2	4
61	в своих	2	4
62	ту же	2	4
63	о том	2	4
64	так как	3	4
65	одна из	5	4
66	том числе	2	3
67	так что	4	3
68	может быть	17	3
69	одной из	2	3
70	а также	2	3
71	был бы	2	3
72	что и	2	3
73	то что	7	3
74	в их	3	3
75	в году	5	3
76	уже не	2	3
77	и наконец	2	3
78	не в	4	3
79	в другом	3	3
80	и т.д	7	3
81	слова и	7	3
82	в нашем	2	2
83	о себе	3	2
84	с другой	8	2
85	уже в	2	2
86	в одном	2	2
87	что он	3	2
88	ни было	2	2
89	и еще	2	2
90	и как	3	2
91	при взгляде	2	2
92	но это	3	2
93	для него	4	2
94	одной стороны	6	2
95	было бы	2	2
96	и сам	2	2
97	картина мира	2	2
98	из них	2	2
99	себе и	3	2
100	а в	3	2
101	по преимуществу	2	2
102	все же	2	2
103	в мире	9	2
104	вместе с	5	2
105	данном случае	3	2
106	другой стороны	4	2
107	как раз	2	2
108	не может	9	2
109	как к	3	2
110	а не	20	2
111	для того	2	2
112	из которых	2	2
113	и для	3	2
114	с точки	3	2
115	мы не	4	2
116	в данном	3	2
117	и то	3	2
118	с этой	2	2
119	но с	3	2
120	он и	2	2
121	с тем	2	2
122	с ним	2	2
