N	2gram	Losev_Prob_3	VelikijI
1	и не	35	20
2	и в	44	16
3	то что	23	9
4	так как	9	9
5	еще не	5	8
6	что они	5	7
7	и потому	7	7
8	а не	18	7
9	не есть	35	6
10	хотя и	5	5
11	как бы	9	5
12	но и	10	5
13	все это	5	5
14	того что	8	5
15	и есть	5	4
16	что все	2	4
17	что он	9	4
18	в нем	9	4
19	как и	10	4
20	что мы	8	4
21	в котором	2	4
22	так и	10	4
23	потому что	25	4
24	в этом	17	4
25	в ней	5	4
26	говорить о	3	4
27	и все	3	4
28	в его	9	4
29	если не	3	3
30	что в	8	3
31	в этих	2	3
32	в конце	5	3
33	ни в	8	3
34	в том	21	3
35	не в	13	3
36	но это	8	3
37	и будет	2	3
38	к тому	3	3
39	во всех	2	3
40	никогда не	6	3
41	то это	10	3
42	что и	9	3
43	жизни и	6	3
44	в своей	5	3
45	тому что	4	3
46	не было	5	3
47	и что	7	3
48	не имеет	9	3
49	хотя бы	3	3
50	и для	2	3
51	нас и	2	3
52	все эти	7	3
53	нет ничего	6	3
54	в чем	4	3
55	но в	12	3
56	что их	2	2
57	с тем	5	2
58	на нас	2	2
59	это не	9	2
60	прежде всего	3	2
61	ее и	2	2
62	есть уже	3	2
63	для нас	16	2
64	да и	5	2
65	том что	12	2
66	а к	2	2
67	мы и	2	2
68	от него	2	2
69	но не	3	2
70	для него	3	2
71	для них	2	2
72	когда в	3	2
73	и сам	5	2
74	и во	2	2
75	не только	14	2
76	и т	13	2
77	и за	2	2
78	и тогда	3	2
79	будет уже	2	2
80	т д	13	2
81	а с	2	2
82	все равно	3	2
83	тем что	4	2
84	мы не	7	2
85	уже не	7	2
86	не так	3	2
87	его не	2	2
88	а в	5	2
89	с ним	7	2
90	можно было	4	2
91	и то	14	2
92	является в	2	2
93	могут быть	2	2
94	самого себя	3	2
95	только в	19	2
96	и это	9	2
97	во всяком	9	2
