N	2gram	Vinokur_St_2	RusskieA
1	и в	29	29
2	т е	10	24
3	что в	19	22
4	том что	27	22
5	в том	27	22
6	как бы	5	18
7	и другие	2	14
8	может быть	2	13
9	так как	2	13
10	во время	2	12
11	как и	2	11
12	в этом	21	11
13	все это	11	10
14	и с	4	10
15	не только	19	10
16	о том	17	9
17	в некоторых	2	9
18	но и	19	8
19	ее в	2	8
20	его в	2	8
21	как в	3	7
22	с тем	7	6
23	для того	7	6
24	вместе с	7	6
25	таким образом	10	6
26	при этом	2	6
27	того чтобы	6	6
28	и на	6	6
29	в данном	2	6
30	на нее	3	6
31	потому что	9	5
32	к этому	4	5
33	должна была	2	5
34	то что	11	5
35	и что	6	5
36	но не	3	5
37	и т	9	5
38	не может	2	5
39	т д	6	5
40	но в	8	5
41	именно в	4	4
42	о чем	5	4
43	в них	2	4
44	вопрос о	6	4
45	а затем	2	4
46	по существу	2	4
47	так что	3	4
48	не в	4	4
49	из них	3	4
50	же как	3	4
51	том же	2	4
52	а также	2	4
53	так же	3	4
54	то же	2	4
55	у нас	3	4
56	а не	5	4
57	как это	2	4
58	тем что	3	3
59	должен был	4	3
60	в этих	3	3
61	в качестве	5	3
62	должно было	3	3
63	в году	3	3
64	как например	2	3
65	или с	2	3
66	в ее	2	3
67	до конца	3	3
68	того что	5	3
69	было бы	5	3
70	и о	4	3
71	в и	13	3
72	в котором	7	3
73	не имеет	2	3
74	связь с	2	3
75	в отличие	2	3
76	все эти	2	3
77	и по	3	3
78	между тем	5	3
79	но он	3	3
80	в этой	2	3
81	что это	3	3
82	отличие от	2	3
83	в эту	3	3
84	не менее	3	2
85	с этой	2	2
86	связи с	4	2
87	ниже в	2	2
88	об этом	6	2
89	никогда не	3	2
90	по этому	2	2
91	из нее	3	2
92	с другой	4	2
93	не столько	7	2
94	в образе	3	2
95	прежде всего	5	2
96	не был	3	2
97	что и	2	2
98	что с	2	2
99	в г	7	2
100	нас не	2	2
101	говорит о	2	2
102	кроме того	4	2
103	и как	2	2
104	одним из	6	2
105	очевидно что	2	2
106	после того	4	2
107	и пр	8	2
108	совершенно не	2	2
109	что на	3	2
110	и дело	2	2
111	тем не	2	2
112	в виду	7	2
113	еще в	2	2
114	все же	6	2
115	в своей	7	2
116	не к	2	2
117	дело не	2	2
118	в их	3	2
119	вряд ли	3	2
120	этому поводу	2	2
121	тогда как	2	2
122	того как	7	2
123	а с	3	2
124	не было	3	2
125	в течение	6	2
126	на самом	3	2
127	там где	2	2
128	этот вопрос	2	2
129	была не	2	2
130	а к	2	2
131	с этим	3	2
132	на себя	3	2
133	это время	2	2
134	в то	2	2
135	в которой	11	2
