N	2gram	Bakhtin_Pr_1	Otkroven
1	у него	6	22
2	у достоевского	24	19
3	и в	23	19
4	но и	11	13
5	и не	34	13
6	в этом	25	12
7	из подполья	11	11
8	а не	20	11
9	не в	6	11
10	человека в	5	11
11	может быть	21	11
12	не только	13	11
13	и все	3	10
14	вопрос о	4	10
15	в нем	20	10
16	никогда не	5	9
17	к человеку	2	9
18	не было	3	9
19	в человеке	6	9
20	в самой	7	9
21	потому что	12	9
22	прежде всего	7	9
23	лишь в	3	7
24	достоевского он	2	7
25	но он	2	7
26	до конца	5	7
27	ивана карамазова	5	7
28	он не	4	7
29	в его	24	7
30	все это	7	6
31	как и	8	6
32	него в	2	5
33	то что	18	5
34	а в	7	5
35	записок из	3	5
36	достоевского и	12	5
37	в том	11	5
38	для достоевского	6	5
39	для него	15	5
40	в этой	4	5
41	в самом	8	5
42	в творчестве	5	5
43	с его	6	4
44	он сам	3	4
45	достоевского не	11	4
46	того чтобы	4	4
47	все в	6	4
48	и его	13	4
49	все эти	8	4
50	человек и	2	4
51	достоевский не	5	4
52	герои достоевского	3	4
53	не может	11	4
54	что в	8	4
55	в романах	7	4
56	к нему	3	3
57	достоевского в	19	3
58	не могут	6	3
59	человеческого духа	2	3
60	в этих	2	3
61	и есть	5	3
62	самого достоевского	6	3
63	романах достоевского	6	3
64	мысли и	2	3
65	это не	10	3
66	достоевского было	3	3
67	и вот	2	3
68	что он	10	3
69	того что	2	3
70	для того	2	3
71	хотя бы	2	3
72	в своих	2	3
73	еще не	5	3
74	подполья и	2	3
75	достоевский был	4	3
76	все что	3	3
77	в себе	5	3
78	было бы	6	3
79	о том	2	3
80	с ним	6	3
81	как бы	28	3
82	о достоевском	12	2
83	в этот	2	2
84	уже в	5	2
85	с которой	4	2
86	все же	5	2
87	что и	5	2
88	он в	2	2
89	и для	3	2
90	в единстве	7	2
91	достоевского нет	3	2
92	в истории	2	2
93	так и	10	2
94	в своем	8	2
95	романов достоевского	12	2
96	что все	3	2
97	произведений достоевского	7	2
98	к этому	2	2
99	творчество достоевского	3	2
100	по себе	7	2
101	и к	4	2
102	в которой	4	2
103	что для	2	2
104	достоевского к	5	2
105	том что	9	2
106	достоевским и	2	2
107	и на	10	2
108	достоевского с	7	2
109	человека достоевский	2	2
110	из всего	2	2
111	сказать что	5	2
112	и с	4	2
113	чем в	2	2
114	тем что	3	2
115	его героев	5	2
116	него не	2	2
117	что достоевский	3	2
118	на западе	2	2
119	ведь это	2	2
120	этого мира	4	2
121	достоевского но	8	2
122	его в	4	2
123	героев достоевского	3	2
124	в своей	11	2
125	особенность достоевского	2	2
126	так как	7	2
127	и этим	2	2
128	достоевский прежде	2	2
129	и о	3	2
130	ничего не	6	2
131	не могли	2	2
132	но в	4	2
133	и потому	3	2
