N	2gram	Bakhtin_Pr_2	StatiiOP
1	и в	43	29
2	том что	2	27
3	в том	6	27
4	в этом	13	21
5	но и	14	19
6	что в	4	19
7	не только	11	19
8	о том	5	17
9	что он	13	13
10	в его	10	13
11	то что	7	11
12	все это	5	11
13	к тому	4	10
14	таким образом	5	10
15	т е	26	10
16	в своем	4	9
17	и т	13	9
18	так и	3	9
19	и не	29	9
20	он не	9	9
21	и пр	2	8
22	как раз	4	8
23	письме к	2	8
24	но в	10	8
25	но все	2	7
26	в самом	7	7
27	в виду	3	7
28	в котором	6	7
29	я не	4	7
30	в своей	4	7
31	того как	2	7
32	об этом	2	6
33	в одном	12	6
34	вовсе не	5	6
35	вопрос о	2	6
36	до сих	7	6
37	все же	3	6
38	т д	4	6
39	и что	5	6
40	и его	8	6
41	и на	10	6
42	в письме	2	5
43	прежде всего	10	5
44	была бы	2	5
45	в той	5	5
46	было бы	5	5
47	как бы	22	5
48	сих пор	7	5
49	а не	7	5
50	того что	2	5
51	между тем	3	5
52	точки зрения	13	5
53	времени и	2	4
54	а как	4	4
55	что у	2	4
56	с другой	4	4
57	в романе	3	4
58	не в	11	4
59	для него	8	4
60	кроме того	3	4
61	и к	3	4
62	и о	2	4
63	хотя и	5	4
64	в нем	12	4
65	дело в	2	4
66	еще более	2	4
67	в речи	5	4
68	ничего не	3	4
69	в другом	7	4
70	и с	5	4
71	не менее	3	3
72	не был	2	3
73	что это	2	3
74	в этих	6	3
75	это слово	5	3
76	но он	4	3
77	с этим	2	3
78	на себя	2	3
79	в образе	2	3
80	по себе	11	3
81	что на	2	3
82	ни в	2	3
83	тому же	3	3
84	у нас	2	3
85	так что	5	3
86	но это	4	3
87	но не	5	3
88	до конца	4	3
89	кажется что	3	3
90	например в	2	3
91	наконец в	3	3
92	у меня	5	3
93	никогда не	9	3
94	и даже	3	3
95	из них	2	3
96	другой стороны	3	3
97	самом деле	5	3
98	как в	2	3
99	в их	3	3
100	т п	9	3
101	а с	2	3
102	тем что	3	3
103	и он	5	3
104	ни одного	4	3
105	хотя бы	2	3
106	так же	2	3
107	во всяком	2	3
108	и здесь	3	3
109	отношении к	2	3
110	в эту	3	3
111	в отношении	3	2
112	во время	4	2
113	с его	4	2
114	ни было	2	2
115	если бы	3	2
116	и др	2	2
117	два слова	2	2
118	в них	4	2
119	в одной	3	2
120	в конце	2	2
121	что было	2	2
122	конечно в	2	2
123	бы ни	2	2
124	что и	3	2
125	тем не	2	2
126	он был	3	2
127	а затем	2	2
128	по существу	3	2
129	как и	14	2
130	и как	2	2
131	из его	2	2
132	даны в	3	2
133	что я	6	2
134	в то	7	2
135	по своему	2	2
136	о своей	3	2
137	говорят что	3	2
138	и сам	7	2
139	может быть	23	2
140	очень хорошо	2	2
141	том же	4	2
142	никак не	5	2
143	тем же	2	2
144	на то	5	2
145	на почве	2	2
146	даже в	3	2
147	только в	4	2
148	ее в	2	2
149	также и	3	2
150	в процессе	2	2
151	или менее	3	2
152	совершенно не	4	2
153	не на	4	2
154	не может	18	2
155	уже после	2	2
156	то же	8	2
157	все эти	5	2
158	при этом	6	2
159	там где	4	2
160	в отличие	4	2
161	более или	3	2
162	что такое	2	2
163	на этот	4	2
164	с точки	8	2
165	особенно в	2	2
166	чтобы сделать	2	2
167	что этот	2	2
168	в результате	4	2
169	сказать что	2	2
170	которую он	2	2
171	на меня	2	2
172	в себе	5	2
173	этот вопрос	4	2
174	его в	3	2
175	как он	2	2
176	и это	4	2
177	и всегда	2	2
178	так как	4	2
179	того же	3	2
180	отличие от	4	2
