N	2gram	Trubetskoy_1	Sovremen
1	не может	22	17
2	точки зрения	11	12
3	может быть	9	12
4	таким образом	11	11
5	не можем	2	7
6	в этом	17	7
7	и в	14	7
8	и не	19	6
9	как и	4	6
10	в результате	2	6
11	мы можем	2	6
12	что же	4	5
13	прежде всего	8	5
14	все эти	2	5
15	и наконец	2	5
16	с точки	9	5
17	как бы	4	4
18	жизни и	4	4
19	вместе с	4	4
20	а в	5	4
21	вопрос о	5	4
22	не только	9	4
23	в том	17	4
24	их в	2	4
25	из них	3	4
26	точку зрения	4	4
27	мы должны	7	4
28	так как	4	4
29	но мы	3	3
30	все же	4	3
31	на этой	2	3
32	отнюдь не	7	3
33	между собой	5	3
34	может не	3	3
35	все это	6	3
36	отличается от	2	3
37	не подлежит	2	3
38	в конце	3	3
39	то же	11	3
40	ясно что	2	3
41	в нем	5	3
42	а не	2	3
43	и к	6	3
44	для нас	2	3
45	не в	4	3
46	в этой	4	3
47	одна из	3	3
48	еще не	3	3
49	при этом	5	3
50	было бы	5	3
51	и т.д	4	3
52	в себе	9	3
53	в области	2	3
54	но в	2	3
55	и потому	3	3
56	совершенно не	2	2
57	в настоящее	2	2
58	не могут	4	2
59	что это	3	2
60	и есть	2	2
61	в виде	3	2
62	в некоторых	2	2
63	у него	2	2
64	быть и	2	2
65	приводит к	4	2
66	и во	3	2
67	из этих	3	2
68	что все	3	2
69	уже не	2	2
70	или иной	5	2
71	самом деле	7	2
72	и что	2	2
73	из которых	5	2
74	что такое	2	2
75	к чему	2	2
76	и даже	2	2
77	и по	3	2
78	он должен	5	2
79	она может	3	2
80	то ни	4	2
81	в таком	2	2
82	во всяком	9	2
83	знаем что	3	2
84	с этим	2	2
85	что в	4	2
86	настоящее время	2	2
87	говорить о	3	2
88	с другом	14	2
89	которой он	4	2
90	если же	2	2
91	в самом	3	2
92	ни одна	3	2
93	друг с	14	2
94	в его	4	2
95	всяком случае	6	2
