N	2gram	Vinokur_St_1	PoTuStor
1	может быть	15	17
2	и в	44	16
3	прежде всего	7	9
4	таким образом	7	9
5	в этом	21	9
6	и только	3	9
7	совершенно не	5	8
8	и его	8	8
9	и с	3	8
10	точки зрения	11	8
11	не может	8	8
12	сказать что	7	7
13	не только	18	7
14	и это	2	6
15	с точки	8	6
16	самом деле	11	6
17	для него	6	6
18	при этом	2	6
19	конечно не	2	6
20	отношение к	2	5
21	все эти	5	5
22	в чем	3	5
23	ни в	3	5
24	еще не	3	5
25	как бы	4	5
26	в нем	5	4
27	и их	2	4
28	но и	10	4
29	так и	9	4
30	все это	5	4
31	хотя бы	6	4
32	и все	2	4
33	так как	5	4
34	и не	16	4
35	на самом	6	4
36	а потому	2	4
37	и даже	5	4
38	в этой	11	4
39	только в	10	4
40	его в	2	4
41	но в	10	4
42	в его	9	4
43	во время	3	3
44	в этих	2	3
45	что в	30	3
46	жизни и	5	3
47	во всех	8	3
48	могут быть	5	3
49	сих пор	7	3
50	никаких оснований	2	3
51	даже не	4	3
52	отношения к	2	3
53	крайней мере	2	3
54	в том	36	3
55	а в	17	3
56	том что	29	3
57	то что	18	3
58	их в	2	3
59	в основе	3	3
60	по крайней	2	3
61	как это	4	3
62	в области	14	3
63	во всяком	6	3
64	и потому	2	3
65	до сих	7	3
66	всяком случае	6	3
67	не существует	3	2
68	не менее	5	2
69	с историей	2	2
70	что и	6	2
71	же как	3	2
72	в частности	4	2
73	никогда не	5	2
74	что не	3	2
75	для этого	2	2
76	того же	3	2
77	вообще не	2	2
78	с этой	3	2
79	и так	3	2
80	из этих	6	2
81	с этим	3	2
82	в свое	2	2
83	то же	5	2
84	что оно	3	2
85	не знает	2	2
86	нет никаких	2	2
87	что он	10	2
88	мы не	2	2
89	что на	2	2
90	что мы	5	2
91	у него	2	2
92	и по	5	2
93	и для	3	2
94	для нас	7	2
95	как и	9	2
96	так же	5	2
97	но это	6	2
98	есть в	2	2
99	совсем не	2	2
100	а на	3	2
101	он не	2	2
102	в каком	3	2
103	говорить о	2	2
104	в начале	3	2
105	и вообще	3	2
106	было бы	17	2
107	со всеми	2	2
108	что это	4	2
109	кажется что	3	2
110	связанные с	3	2
111	но ведь	8	2
112	о том	17	2
113	в самом	7	2
114	за пределы	2	2
115	в своей	6	2
116	можно назвать	2	2
