N	2gram	Vygotskiy__1	Russkaja
1	не может	17	22
2	и не	16	19
3	в том	30	17
4	в этом	12	17
5	и в	31	14
6	то что	32	13
7	таким образом	20	11
8	то же	5	11
9	точки зрения	15	11
10	но и	2	10
11	в то	5	10
12	том что	16	9
13	не только	13	9
14	в себе	4	9
15	с точки	2	9
16	может быть	22	9
17	во всяком	8	9
18	прежде всего	4	8
19	того чтобы	7	8
20	как на	3	8
21	русской интеллигенции	2	8
22	отнюдь не	6	7
23	к тому	4	7
24	и если	4	7
25	не будет	3	7
26	самом деле	9	7
27	о том	7	7
28	и с	2	7
29	если бы	6	6
30	на самом	2	6
31	что он	7	6
32	и к	3	6
33	с тем	3	6
34	для того	6	6
35	для всех	4	6
36	всяком случае	6	6
37	все это	8	6
38	в своем	3	6
39	и для	5	6
40	в своих	4	6
41	себя и	2	5
42	вопрос о	3	5
43	на то	10	5
44	при этом	19	5
45	до сих	3	5
46	было бы	6	5
47	в своей	3	5
48	он не	3	5
49	никогда не	8	5
50	в нем	2	5
51	сих пор	3	5
52	и только	3	5
53	по существу	4	5
54	а потому	3	5
55	из которых	3	5
56	а в	6	5
57	потому что	10	5
58	только в	14	5
59	между тем	4	5
60	но не	3	4
61	не могут	3	4
62	том случае	2	4
63	что в	23	4
64	тогда когда	5	4
65	как и	16	4
66	более или	2	4
67	все что	3	4
68	ли это	2	4
69	как бы	5	4
70	все же	5	4
71	жизни и	3	4
72	вместе с	8	4
73	со стороны	4	4
74	от того	3	4
75	или менее	2	4
76	что же	2	4
77	приводит к	2	4
78	тому чтобы	3	4
79	в совершенно	4	4
80	точку зрения	3	4
81	не в	11	4
82	отказаться от	2	4
83	и то	2	4
84	в этой	3	4
85	во всем	3	4
86	в его	6	4
87	его в	2	4
88	так как	18	4
89	к этой	2	4
90	что это	6	3
91	можно ли	2	3
92	из этих	6	3
93	в конце	3	3
94	что все	3	3
95	главным образом	2	3
96	и как	2	3
97	что они	2	3
98	в качестве	2	3
99	несмотря на	5	3
100	в самом	11	3
101	том чтобы	7	3
102	и потому	2	3
103	но мы	3	3
104	что и	13	3
105	не есть	3	3
106	и т	26	3
107	из них	2	3
108	не было	3	3
109	что оно	3	3
110	и сейчас	2	3
111	того что	10	3
112	и по	3	3
113	что для	2	3
114	приходит к	2	3
115	и во	2	3
116	из этого	2	3
117	конце концов	3	3
118	одна из	4	3
119	в сознании	2	3
120	сама по	2	2
121	должна быть	3	2
122	и есть	5	2
123	в частности	3	2
124	у него	4	2
125	по этому	2	2
126	но даже	2	2
127	его и	3	2
128	что только	2	2
129	и от	2	2
130	с этим	3	2
131	точно так	3	2
132	это в	2	2
133	состоит в	3	2
134	представить себе	3	2
135	совершенно очевидно	3	2
136	ясно что	19	2
137	по себе	9	2
138	и вместе	2	2
139	бы ни	2	2
140	том и	2	2
141	ни в	9	2
142	уже не	2	2
143	так что	5	2
144	чтобы понять	4	2
145	из всех	2	2
146	это есть	5	2
147	но это	3	2
148	от него	2	2
149	не можем	3	2
150	указывает на	4	2
151	отличается от	2	2
152	настоящее время	2	2
153	что с	2	2
154	она не	5	2
155	и тот	2	2
156	совершенно не	5	2
157	и о	4	2
158	по самому	5	2
159	на это	2	2
160	к чему	2	2
161	но совершенно	2	2
162	в котором	4	2
163	речь идет	3	2
164	в настоящее	2	2
165	на почве	2	2
166	если же	2	2
167	и тем	2	2
168	в противоречие	2	2
169	для нас	5	2
170	противоречие с	3	2
171	на основании	7	2
172	и тогда	2	2
173	тому что	4	2
174	целый ряд	6	2
175	это только	2	2
176	и состоит	2	2
177	и вот	3	2
178	только на	3	2
179	и что	8	2
180	тем самым	2	2
181	а не	13	2
182	стоит только	2	2
183	что такое	2	2
184	и даже	6	2
185	к нему	2	2
186	зависимость от	2	2
187	так же	12	2
188	в таком	3	2
189	принадлежат к	2	2
190	том же	2	2
191	в результате	4	2
192	их в	2	2
193	в силу	3	2
194	мы можем	4	2
195	последнее время	2	2
196	как будто	5	2
197	в этих	4	2
198	с ним	2	2
199	отметить что	2	2
200	в области	11	2
201	но в	3	2
