N	2gram	Bakhtin_Fr_4	NovoeSre
1	не может	2	16
2	и в	29	16
3	нового времени	2	12
4	и не	16	11
5	и есть	4	10
6	в эпоху	15	9
7	жизни и	4	8
8	он не	3	8
9	в том	7	8
10	как и	12	7
11	в этом	11	7
12	может быть	2	7
13	с его	4	6
14	никогда не	2	6
15	но это	4	6
16	ни в	2	6
17	в нем	5	5
18	все это	4	5
19	в жизни	2	5
20	с ее	3	5
21	и к	2	5
22	в ней	3	5
23	не только	10	5
24	то что	4	4
25	в них	7	4
26	большую роль	2	4
27	это не	5	4
28	и все	13	4
29	быть может	2	4
30	и для	2	4
31	по своему	4	4
32	прежде всего	8	4
33	и мы	2	4
34	о том	2	4
35	но и	9	3
36	в своей	5	3
37	жизни в	2	3
38	с другой	4	3
39	старого мира	3	3
40	к тому	2	3
41	в ее	3	3
42	в основе	2	3
43	подобно тому	3	3
44	конечно не	4	3
45	как в	2	3
46	еще не	4	3
47	тому как	3	3
48	сказать что	5	3
49	времени и	2	2
50	все время	3	2
51	себя в	2	2
52	место в	2	2
53	у него	5	2
54	но она	2	2
55	все они	5	2
56	так и	11	2
57	и т.п	12	2
58	другой стороны	3	2
59	формы и	2	2
60	мир и	2	2
61	с одной	2	2
62	все эти	9	2
63	уже не	2	2
64	такой же	3	2
65	роль в	3	2
66	того чтобы	3	2
67	одной стороны	2	2
68	и даже	3	2
69	но не	2	2
70	так же	7	2
71	это и	5	2
72	том что	3	2
73	связана с	4	2
74	связаны с	2	2
75	есть в	2	2
76	и с	9	2
77	и на	11	2
78	в себе	3	2
79	в то	10	2
80	старый мир	4	2
81	как будто	2	2
82	и это	2	2
83	мира и	4	2
84	хотя и	2	2
85	но в	12	2
86	в новом	2	2
