N	2gram	Tiupa_Disk_1	formyVre
1	и в	16	46
2	в этом	15	22
3	прежде всего	11	14
4	и его	2	12
5	только в	7	11
6	не только	28	11
7	во всех	5	11
8	в том	23	10
9	как бы	5	10
10	точки зрения	3	10
11	то есть	20	10
12	но в	8	10
13	не в	7	9
14	но и	14	9
15	и не	11	9
16	связи с	4	8
17	как и	16	8
18	в его	7	8
19	то же	7	8
20	потому что	4	8
21	из них	3	8
22	в них	4	7
23	в одном	2	7
24	может быть	17	7
25	то что	5	7
26	так и	8	7
27	времени в	2	7
28	и на	5	7
29	так сказать	2	7
30	никогда не	2	6
31	и во	2	6
32	и все	2	6
33	при этом	13	6
34	как мы	2	6
35	здесь в	2	6
36	еще не	14	6
37	все же	3	6
38	в особенности	4	6
39	человека в	2	6
40	в основе	7	6
41	в частности	9	5
42	в своем	6	5
43	с этим	3	5
44	в пределах	2	5
45	в то	3	5
46	но не	11	5
47	и др	2	5
48	в нем	9	5
49	что в	4	5
50	уже в	2	4
51	отнюдь не	8	4
52	жизни в	2	4
53	же время	4	4
54	том что	19	4
55	в ряду	2	4
56	в котором	5	4
57	как в	10	4
58	в эпоху	5	4
59	отношения к	2	4
60	а не	22	4
61	и он	2	4
62	также и	3	4
63	к себе	2	4
64	в себе	7	4
65	в истории	4	4
66	о том	8	4
67	и было	2	4
68	том числе	2	3
69	не было	7	3
70	о чем	2	3
71	не является	4	3
72	того же	3	3
73	к этому	2	3
74	как уже	3	3
75	к тому	5	3
76	ему в	2	3
77	что он	4	3
78	и как	6	3
79	в качестве	34	3
80	для него	4	3
81	имеет место	3	3
82	хотя и	2	3
83	а также	8	3
84	точка зрения	2	3
85	что и	3	3
86	отношение к	4	3
87	в форме	2	3
88	целый ряд	2	3
89	таким образом	3	3
90	в их	5	3
91	уже не	4	3
92	того что	3	3
93	и даже	3	3
94	и по	2	3
95	а в	5	3
96	роль в	7	3
97	в которых	4	3
98	тем что	3	3
99	в другом	2	3
100	на протяжении	2	3
101	же самое	2	3
102	в виду	2	3
103	мира в	3	3
104	литературы в	2	2
105	на этом	2	2
106	по своему	3	2
107	и есть	2	2
108	числе и	2	2
109	с другой	10	2
110	это не	3	2
111	в одной	3	2
112	по себе	3	2
113	или иной	5	2
114	можно сказать	5	2
115	картина мира	3	2
116	в историческом	2	2
117	одновременно с	2	2
118	как его	2	2
119	именно в	3	2
120	в этой	2	2
121	и к	4	2
122	в сущности	2	2
123	и о	4	2
124	к ним	3	2
125	и потому	3	2
126	один из	3	2
127	строго говоря	2	2
128	и т.п	12	2
129	опирается на	2	2
130	не может	9	2
131	в литературу	2	2
132	с одной	9	2
133	в себя	5	2
134	лишь в	4	2
135	эпохи и	2	2
136	сами по	2	2
137	в данном	5	2
138	мы имеем	2	2
139	могут быть	4	2
140	в литературе	2	2
141	далеко не	10	2
142	во всяком	2	2
