N	2gram	Tiupa_Anal_1	Istorich
1	и в	18	22
2	мы имеем	6	19
3	в этом	13	17
4	и т	3	16
5	что в	5	15
6	не только	15	14
7	но и	17	12
8	и не	21	12
9	может быть	29	11
10	еще не	3	10
11	таким образом	3	10
12	но в	8	10
13	что он	3	9
14	в нем	3	9
15	что и	3	9
16	вместе с	4	9
17	в том	27	9
18	том что	12	8
19	как мы	2	8
20	другой стороны	2	7
21	с другой	4	7
22	но не	10	7
23	то что	6	7
24	из них	2	7
25	уже не	4	7
26	так как	2	7
27	это не	6	6
28	не все	2	6
29	а в	9	6
30	то же	9	6
31	а не	17	6
32	если бы	3	6
33	в частности	19	5
34	один из	2	5
35	все же	4	5
36	он не	3	5
37	того что	4	5
38	к нему	3	5
39	могут быть	4	5
40	в этой	5	5
41	не всегда	4	4
42	не в	14	4
43	в пределах	2	4
44	только в	6	4
45	на этом	2	4
46	одним из	3	4
47	отношение к	2	4
48	его и	2	4
49	а именно	3	4
50	и его	5	4
51	и на	5	4
52	в данном	2	4
53	не может	22	4
54	представляют собой	2	4
55	все эти	2	4
56	и с	2	4
57	состоит в	11	3
58	и все	3	3
59	прежде всего	6	3
60	не что	4	3
61	к тому	7	3
62	и к	3	3
63	как и	13	3
64	и как	5	3
65	представляет собой	16	3
66	особого рода	7	3
67	было бы	2	3
68	на его	2	3
69	в его	13	3
70	никогда не	2	3
71	в целом	5	3
72	данном случае	2	3
73	со стороны	2	3
74	иное как	5	3
75	потому что	2	3
76	вступает в	3	3
77	из этих	2	3
78	что иное	5	3
79	далеко не	6	3
80	о том	5	3
81	при помощи	2	3
82	здесь не	2	3
83	только не	2	2
84	и есть	3	2
85	говорит и	2	2
86	на все	2	2
87	вовсе не	2	2
88	вопрос о	2	2
89	не исключают	2	2
90	можно сказать	2	2
91	или не	2	2
92	ни в	4	2
93	тому же	4	2
94	в силу	3	2
95	такой же	2	2
96	и более	4	2
97	с одной	3	2
98	при этом	12	2
99	в качестве	31	2
100	на себя	2	2
101	себе в	2	2
102	одной стороны	3	2
103	одного из	2	2
104	и о	2	2
105	и потому	2	2
106	в котором	3	2
107	даже в	3	2
108	не с	4	2
109	отношению к	5	2
110	нет ничего	2	2
111	так и	4	2
112	по отношению	6	2
113	никто не	3	2
114	той же	2	2
115	на самом	2	2
116	из того	4	2
117	что не	3	2
118	роль в	2	2
119	и то	2	2
120	дело с	4	2
121	между тем	5	2
122	точки зрения	6	2
123	в другом	4	2
124	в то	9	2
125	как будто	3	2
126	как правило	4	2
127	а также	3	2
