N	3gram	Trubetskoy_1	Problema
1	в настоящее время	2	16
2	о том что	2	14
3	во всяком случае	6	10
4	в этом случае	3	7
5	в конце концов	3	7
6	и то что	3	7
7	в данном случае	3	5
8	того или иного	2	5
9	на то что	4	4
10	более или менее	4	4
11	только в том	2	4
12	до сих пор	5	4
13	сама по себе	2	4
14	в то же	10	4
15	в том что	7	4
16	в значительной мере	2	3
17	точно так же	2	3
18	не может быть	4	3
19	по самому своему	2	2
20	для того чтобы	6	2
21	друг от друга	2	2
22	бы то ни	4	2
23	можно было бы	3	2
24	в том случае	4	2
25	на самом деле	6	2
