N	2gram	Tiupa_Lite_3	Sovremen
1	не может	8	17
2	точки зрения	7	12
3	может быть	12	12
4	в этом	14	7
5	и в	16	7
6	и не	22	6
7	как и	5	6
8	прежде всего	3	5
9	и наконец	3	5
10	с точки	3	5
11	как бы	8	4
12	в целом	5	4
13	жизни и	3	4
14	вместе с	5	4
15	это не	5	4
16	а в	5	4
17	вопрос о	2	4
18	не только	14	4
19	в том	12	4
20	из них	4	4
21	все же	2	3
22	отнюдь не	3	3
23	в конце	2	3
24	то же	9	3
25	в нем	2	3
26	а не	12	3
27	и к	3	3
28	у нас	2	3
29	не в	10	3
30	в этой	8	3
31	еще не	6	3
32	он в	2	3
33	при этом	15	3
34	было бы	2	3
35	в одном	4	3
36	в первом	2	3
37	в себе	6	3
38	в области	3	3
39	но в	3	3
40	и потому	2	3
41	совершенно не	3	2
42	не менее	2	2
43	для его	3	2
44	в отличие	5	2
45	с одной	4	2
46	в третьем	3	2
47	как мы	2	2
48	уже не	3	2
49	в свою	2	2
50	или иной	2	2
51	самом деле	3	2
52	мы с	2	2
53	и даже	2	2
54	той же	3	2
55	то ни	2	2
56	в живом	2	2
57	а на	2	2
58	что в	2	2
59	со всеми	2	2
60	же самое	2	2
61	скажем в	2	2
62	на его	3	2
63	такого рода	10	2
64	в самом	3	2
65	отличие от	5	2
66	в его	6	2
