N	2gram	Nazirov_Vr_1	Narrotol
1	не только	9	31
2	но и	7	27
3	и не	5	23
4	при этом	4	19
5	может быть	4	15
6	как и	6	13
7	а в	2	13
8	в этом	8	12
9	и в	8	11
10	и его	3	10
11	тогда как	2	10
12	то что	7	9
13	то же	5	8
14	в том	3	8
15	и т.п	2	8
16	не может	2	8
17	уже не	2	8
18	у него	5	7
19	том что	3	7
20	но в	6	7
21	об этом	5	6
22	а также	2	6
23	и он	2	6
24	не мог	2	6
25	как бы	4	6
26	как раз	2	6
27	в себе	2	6
28	в его	3	6
29	в этой	2	6
30	в своей	2	5
31	столь же	2	5
32	точки зрения	2	5
33	с его	3	4
34	о чем	2	4
35	никогда не	2	4
36	к себе	2	4
37	матери и	3	4
38	все же	6	4
39	для него	2	4
40	же время	5	4
41	еще не	2	4
42	в ней	4	4
43	в нем	6	4
44	в мире	2	4
45	из них	2	4
46	так в	2	4
47	в то	5	4
48	что у	3	4
49	о том	4	4
50	одна из	2	4
51	не менее	2	3
52	он сам	2	3
53	что в	7	3
54	в своем	3	3
55	это не	4	3
56	что он	4	3
57	и как	3	3
58	в начале	6	3
59	но как	2	3
60	и о	3	3
61	он не	3	3
62	о нем	6	3
63	речь идет	3	3
64	начиная с	2	3
65	не было	5	3
66	в глазах	2	3
67	и то	2	3
68	их в	2	3
69	и с	6	3
70	и ее	2	3
71	в русской	3	3
72	и все	7	3
73	между тем	5	3
74	в известном	2	2
75	отнюдь не	2	2
76	его и	2	2
77	в конце	3	2
78	в свою	2	2
79	на то	3	2
80	же в	2	2
81	в романе	6	2
82	и стал	2	2
83	в повести	2	2
84	у тургенева	11	2
85	к ним	2	2
86	раз в	3	2
87	вместе с	2	2
88	после смерти	2	2
89	в связи	3	2
90	человека в	3	2
91	в году	18	2
92	в той	2	2
93	и даже	6	2
94	связи с	3	2
95	от сознания	2	2
96	в чем	3	2
97	с ним	4	2
