N	2gram	Tiupa_Anal_1	VelikijI
1	и не	21	20
2	и в	18	16
3	то что	6	9
4	так как	2	9
5	еще не	3	8
6	и потому	2	7
7	а не	17	7
8	не есть	8	6
9	в мире	8	5
10	как бы	5	5
11	но и	17	5
12	того что	4	5
13	на себя	2	5
14	и есть	3	4
15	что он	3	4
16	в нем	3	4
17	смысла жизни	3	4
18	как и	13	4
19	что мы	3	4
20	в котором	3	4
21	так и	4	4
22	что не	3	4
23	потому что	2	4
24	в этом	13	4
25	и все	3	4
26	в его	13	4
27	с его	3	3
28	что в	5	3
29	ни в	4	3
30	в том	27	3
31	не в	14	3
32	к тому	7	3
33	никогда не	2	3
34	что и	3	3
35	в своей	6	3
36	от которого	2	3
37	лишь в	5	3
38	хотя бы	3	3
39	должно быть	2	3
40	все эти	2	3
41	нет ничего	2	3
42	но в	8	3
43	не могут	3	2
44	личности а	2	2
45	его и	2	2
46	это не	6	2
47	в личности	2	2
48	прежде всего	6	2
49	его к	2	2
50	том что	12	2
51	но не	10	2
52	не к	2	2
53	для него	2	2
54	и сам	2	2
55	того чтобы	3	2
56	не только	15	2
57	нет и	2	2
58	один из	2	2
59	не с	4	2
60	и т	3	2
61	не будет	3	2
62	и тогда	2	2
63	а с	3	2
64	в себя	6	2
65	уже не	4	2
66	более чем	4	2
67	а в	9	2
68	с ним	4	2
69	и то	2	2
70	между тем	5	2
71	могут быть	4	2
72	только в	6	2
73	мира в	2	2
