N	2gram	Vinokur_St_2	Russkaja
1	не может	2	22
2	и не	9	19
3	в том	27	17
4	в этом	21	17
5	и в	29	14
6	то что	11	13
7	таким образом	10	11
8	то же	2	11
9	точки зрения	5	11
10	но и	19	10
11	в то	2	10
12	том что	27	9
13	не только	19	9
14	в себе	2	9
15	с точки	2	9
16	может быть	2	9
17	во всяком	3	9
18	прежде всего	5	8
19	того чтобы	6	8
20	как на	9	8
21	к тому	10	7
22	самом деле	3	7
23	в данном	2	7
24	о том	17	7
25	и с	4	7
26	если бы	2	6
27	на самом	3	6
28	что он	13	6
29	и к	4	6
30	с тем	7	6
31	для него	4	6
32	для того	7	6
33	всяком случае	3	6
34	все это	11	6
35	в своем	9	6
36	в россии	3	6
37	хотя бы	3	5
38	вопрос о	6	5
39	на то	2	5
40	и на	6	5
41	при этом	2	5
42	до сих	6	5
43	было бы	5	5
44	в своей	7	5
45	он не	9	5
46	никогда не	3	5
47	в нем	4	5
48	сих пор	5	5
49	по существу	2	5
50	потому что	9	5
51	только в	2	5
52	между тем	5	5
53	но не	3	4
54	что в	19	4
55	то ни	2	4
56	как и	2	4
57	более или	2	4
58	как бы	5	4
59	все же	6	4
60	бы то	2	4
61	вместе с	7	4
62	со стороны	2	4
63	или менее	2	4
64	в их	3	4
65	не в	4	4
66	в этой	2	4
67	в его	13	4
68	его в	2	4
69	так как	2	4
70	что это	3	3
71	именно в	4	3
72	в конце	2	3
73	с нею	3	3
74	о которых	2	3
75	и как	2	3
76	в другом	4	3
77	что они	2	3
78	в качестве	5	3
79	несмотря на	2	3
80	в самом	7	3
81	одной из	3	3
82	и потому	2	3
83	что и	2	3
84	и т	9	3
85	из них	3	3
86	вряд ли	3	3
87	только к	2	3
88	не было	3	3
89	и сейчас	3	3
90	в значительной	2	3
91	того что	5	3
92	и по	3	3
93	тем что	3	3
94	связи с	4	3
95	а с	3	2
96	и более	2	2
97	в частности	4	2
98	по этому	2	2
99	с этим	3	2
100	этот вопрос	2	2
101	тот факт	4	2
102	по себе	3	2
103	бы ни	2	2
104	не должен	2	2
105	ни в	3	2
106	разумеется что	4	2
107	так что	3	2
108	но это	3	2
109	что с	2	2
110	совершенно не	2	2
111	за то	3	2
112	и о	4	2
113	в ней	7	2
114	на это	2	2
115	в котором	7	2
116	речь идет	4	2
117	отношении к	3	2
118	на почве	2	2
119	не к	2	2
120	в некоторых	2	2
121	ее в	2	2
122	тому что	7	2
123	тогда как	2	2
124	если не	2	2
125	в течение	6	2
126	все эти	2	2
127	и что	6	2
128	а не	5	2
129	факт что	6	2
130	что такое	2	2
131	и даже	3	2
132	так же	3	2
133	и те	2	2
134	том же	2	2
135	в результате	2	2
136	на себя	3	2
137	в начале	3	2
138	во время	2	2
139	в этих	3	2
140	только с	2	2
141	отметить что	2	2
142	в области	2	2
143	но в	8	2
