N	2gram	Medvedev_F_3	Literetu
1	не только	9	24
2	при этом	8	19
3	но и	10	17
4	а не	17	16
5	в том	7	16
6	том что	4	14
7	может быть	25	13
8	и не	30	12
9	в этом	18	12
10	прежде всего	4	11
11	в своем	2	11
12	то что	8	10
13	не в	12	8
14	в целом	4	8
15	и в	27	8
16	только в	8	8
17	как это	4	8
18	не менее	7	7
19	в его	7	7
20	как бы	8	7
21	уже не	3	7
22	в себе	3	7
23	в жизни	11	6
24	как и	14	6
25	связи с	5	6
26	того что	3	6
27	точки зрения	16	6
28	с его	2	5
29	что он	6	5
30	же время	7	5
31	как в	4	5
32	не может	24	5
33	то же	15	5
34	в отличие	2	5
35	уже в	4	5
36	одним из	3	5
37	в данном	6	5
38	в то	7	5
39	отличие от	2	5
40	перестает быть	2	4
41	для этого	2	4
42	столь же	3	4
43	это не	3	4
44	в конце	3	4
45	но не	5	4
46	еще не	6	4
47	в формах	2	4
48	еще в	3	4
49	и тем	3	4
50	все же	6	4
51	литературного произведения	4	4
52	из них	2	4
53	в художественном	5	4
54	в своей	6	4
55	данном случае	4	4
56	со стороны	4	4
57	так и	21	4
58	никогда не	5	4
59	в связи	4	4
60	лишь в	9	4
61	друг друга	5	4
62	и его	19	4
63	как раз	8	4
64	в своих	6	4
65	не как	2	4
66	в этой	2	4
67	в основе	3	3
68	что в	8	3
69	с другой	6	3
70	сводится к	5	3
71	да и	4	3
72	одна из	2	3
73	художественного творчества	2	3
74	в пределах	8	3
75	в самом	11	3
76	как совокупность	2	3
77	же и	4	3
78	и др	2	3
79	жизни и	4	3
80	по отношению	3	3
81	бы не	2	3
82	таким образом	18	3
83	тем же	7	3
84	и даже	2	3
85	той же	3	3
86	потому что	7	3
87	во всяком	6	3
88	нуждается в	3	3
89	он и	3	3
90	но в	6	3
91	его в	7	3
92	дело в	2	3
93	в области	2	3
94	в виду	3	3
95	на этом	2	2
96	должна быть	3	2
97	для них	7	2
98	отнюдь не	8	2
99	однако в	2	2
100	именно так	5	2
101	превращается в	2	2
102	дело не	2	2
103	из этих	2	2
104	подобно тому	4	2
105	раз и	3	2
106	человека и	2	2
107	но при	2	2
108	к тому	4	2
109	тем не	2	2
110	или иной	2	2
111	того же	3	2
112	отношения между	2	2
113	ту или	2	2
114	было бы	6	2
115	за пределы	2	2
116	xviii века	2	2
117	в искусстве	7	2
118	и является	4	2
119	всяком случае	6	2
120	на почве	2	2
121	даже в	2	2
122	не является	5	2
123	произведение в	4	2
124	не могло	2	2
125	должен быть	2	2
126	в нем	15	2
127	не есть	4	2
128	отношению к	3	2
129	только то	3	2
130	в сущности	2	2
131	жизни с	2	2
132	то он	3	2
133	художественное произведение	11	2
134	только на	4	2
135	не на	3	2
136	и только	2	2
137	этом отношении	3	2
138	все эти	6	2
139	чтобы не	2	2
140	самом деле	16	2
141	хотя бы	6	2
142	с точки	14	2
143	роль в	4	2
144	в слове	4	2
145	тому как	5	2
146	между тем	7	2
147	тем что	5	2
148	одну из	2	2
149	могут быть	4	2
150	ту же	2	2
151	о том	4	2
152	как он	2	2
153	в россии	2	2
